WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
06/09/2018,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,,Demonstrations,4120,34.6,32.9586
02/19/2022,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,558,Demonstrations,4120,34.6,32.9586
05/28/2022,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,7,Demonstrations,4120,34.6,32.9586
01/13/2024,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,562,Demonstrations,4120,34.6,32.9586
09/28/2024,Europe,Akrotiri and Dhekelia,Akrotiri,Protests,Peaceful protest,1,0,562,Demonstrations,4120,34.6,32.9586
12/02/2023,Europe,Akrotiri and Dhekelia,Akrotiri,Strategic developments,Change to group/activity,1,0,,Strategic developments,4120,34.6,32.9586
01/06/2024,Europe,Akrotiri and Dhekelia,Akrotiri,Strategic developments,Change to group/activity,1,0,,Strategic developments,4120,34.6,32.9586
01/16/2021,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,98,Demonstrations,4119,35.0206,33.758
01/23/2021,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,98,Demonstrations,4119,35.0206,33.758
07/08/2023,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,38,Demonstrations,4119,35.0206,33.758
02/15/2025,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,38,Demonstrations,4119,35.0206,33.758
08/30/2025,Europe,Akrotiri and Dhekelia,Dhekelia,Protests,Peaceful protest,1,0,2415,Demonstrations,4119,35.0206,33.758
09/18/2021,Europe,Akrotiri and Dhekelia,Dhekelia,Riots,Mob violence,1,0,93,Political violence,4119,35.0206,33.758
01/26/2019,Europe,Akrotiri and Dhekelia,Dhekelia,Strategic developments,Change to group/activity,1,0,,Strategic developments,4119,35.0206,33.758
01/18/2020,Europe,Akrotiri and Dhekelia,Dhekelia,Strategic developments,Change to group/activity,1,0,,Strategic developments,4119,35.0206,33.758
05/15/2021,Europe,Albania,Berat,Protests,Excessive force against protesters,1,0,482,Political violence; Demonstrations,35,40.6567,20.088
05/05/2018,Europe,Albania,Berat,Protests,Peaceful protest,1,0,,Demonstrations,35,40.6567,20.088
12/08/2018,Europe,Albania,Berat,Protests,Peaceful protest,1,0,,Demonstrations,35,40.6567,20.088
03/02/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,,Demonstrations,35,40.6567,20.088
03/23/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,,Demonstrations,35,40.6567,20.088
06/08/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,,Demonstrations,35,40.6567,20.088
06/22/2019,Europe,Albania,Berat,Protests,Peaceful protest,1,0,,Demonstrations,35,40.6567,20.088
08/03/2019,Europe,Albania,Berat,Protests,Peaceful protest,2,0,,Demonstrations,35,40.6567,20.088
