WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
06/13/2020,Caribbean,Anguilla,Anguilla,Protests,Peaceful protest,1,0,1656,Demonstrations,109,18.2169,-63.0513
01/30/2021,Caribbean,Anguilla,Anguilla,Protests,Peaceful protest,1,0,1746,Demonstrations,109,18.2169,-63.0513
06/25/2022,Caribbean,Anguilla,Anguilla,Protests,Peaceful protest,1,0,1754,Demonstrations,109,18.2169,-63.0513
05/04/2024,Caribbean,Anguilla,Anguilla,Protests,Peaceful protest,1,0,1761,Demonstrations,109,18.2169,-63.0513
01/07/2023,Caribbean,Anguilla,Anguilla,Riots,Mob violence,1,0,4579,Political violence,109,18.2169,-63.0513
03/14/2020,Caribbean,Anguilla,Anguilla,Strategic developments,Change to group/activity,1,0,,Strategic developments,109,18.2169,-63.0513
01/25/2025,Caribbean,Antigua and Barbuda,Barbuda,Protests,Protest with intervention,1,0,678,Demonstrations,110,17.6415,-61.7973
12/18/2021,Caribbean,Antigua and Barbuda,Saint George,Protests,Peaceful protest,1,0,1703,Demonstrations,112,17.118,-61.7959
02/04/2023,Caribbean,Antigua and Barbuda,Saint George,Protests,Peaceful protest,1,0,1723,Demonstrations,112,17.118,-61.7959
05/25/2024,Caribbean,Antigua and Barbuda,Saint George,Protests,Peaceful protest,1,0,1723,Demonstrations,112,17.118,-61.7959
07/04/2020,Caribbean,Antigua and Barbuda,Saint George,Violence against civilians,Attack,1,1,7375,Political violence,112,17.118,-61.7959
01/20/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
03/31/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
04/21/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,2,0,,Demonstrations,113,17.1103,-61.8287
05/05/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
05/26/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
06/02/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
06/09/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
08/11/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
08/18/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
09/01/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,5,0,,Demonstrations,113,17.1103,-61.8287
10/27/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
11/10/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
11/24/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,2,0,,Demonstrations,113,17.1103,-61.8287
12/15/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
12/22/2018,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
02/02/2019,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,2,0,,Demonstrations,113,17.1103,-61.8287
02/23/2019,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
03/02/2019,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
04/06/2019,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
10/19/2019,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
11/30/2019,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,,Demonstrations,113,17.1103,-61.8287
02/15/2020,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9472,Demonstrations,113,17.1103,-61.8287
05/09/2020,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9472,Demonstrations,113,17.1103,-61.8287
05/30/2020,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9472,Demonstrations,113,17.1103,-61.8287
07/25/2020,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9472,Demonstrations,113,17.1103,-61.8287
08/22/2020,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9472,Demonstrations,113,17.1103,-61.8287
11/28/2020,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9472,Demonstrations,113,17.1103,-61.8287
12/19/2020,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9472,Demonstrations,113,17.1103,-61.8287
03/20/2021,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9023,Demonstrations,113,17.1103,-61.8287
04/24/2021,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9023,Demonstrations,113,17.1103,-61.8287
07/24/2021,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,2,0,9023,Demonstrations,113,17.1103,-61.8287
08/07/2021,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9023,Demonstrations,113,17.1103,-61.8287
09/25/2021,Caribbean,Antigua and Barbuda,Saint John,Protests,Peaceful protest,1,0,9023,Demonstrations,113,17.1103,-61.8287
