WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
02/06/2016,Middle East,Bahrain,Capital,Battles,Armed clash,1,0,,Political violence,285,26.1927,50.5508
06/25/2016,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,,Political violence,285,26.1927,50.5508
02/11/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,,Political violence,285,26.1927,50.5508
02/18/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,,Political violence,285,26.1927,50.5508
08/12/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,,Political violence,285,26.1927,50.5508
09/30/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,,Political violence,285,26.1927,50.5508
10/21/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,,Political violence,285,26.1927,50.5508
07/01/2017,Middle East,Bahrain,Capital,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,,Political violence,285,26.1927,50.5508
03/05/2016,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,,Political violence; Demonstrations,285,26.1927,50.5508
03/26/2016,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,2,0,,Political violence; Demonstrations,285,26.1927,50.5508
01/07/2017,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,,Political violence; Demonstrations,285,26.1927,50.5508
03/25/2017,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,,Political violence; Demonstrations,285,26.1927,50.5508
05/12/2018,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,,Political violence; Demonstrations,285,26.1927,50.5508
07/27/2019,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,1,,Political violence; Demonstrations,285,26.1927,50.5508
11/19/2022,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,48907,Political violence; Demonstrations,285,26.1927,50.5508
02/10/2024,Middle East,Bahrain,Capital,Protests,Excessive force against protesters,1,0,3915,Political violence; Demonstrations,285,26.1927,50.5508
12/26/2015,Middle East,Bahrain,Capital,Protests,Peaceful protest,3,0,,Demonstrations,285,26.1927,50.5508
01/02/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,29,0,,Demonstrations,285,26.1927,50.5508
01/09/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,22,0,,Demonstrations,285,26.1927,50.5508
01/16/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,7,0,,Demonstrations,285,26.1927,50.5508
01/23/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,,Demonstrations,285,26.1927,50.5508
01/30/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,19,0,,Demonstrations,285,26.1927,50.5508
02/06/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,32,0,,Demonstrations,285,26.1927,50.5508
02/13/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,30,0,,Demonstrations,285,26.1927,50.5508
02/20/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,,Demonstrations,285,26.1927,50.5508
02/27/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,29,0,,Demonstrations,285,26.1927,50.5508
03/05/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,,Demonstrations,285,26.1927,50.5508
03/12/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,13,0,,Demonstrations,285,26.1927,50.5508
03/19/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
03/26/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,,Demonstrations,285,26.1927,50.5508
04/02/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,21,0,,Demonstrations,285,26.1927,50.5508
04/09/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,,Demonstrations,285,26.1927,50.5508
04/16/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
04/23/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,14,0,,Demonstrations,285,26.1927,50.5508
04/30/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,13,0,,Demonstrations,285,26.1927,50.5508
05/07/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,10,0,,Demonstrations,285,26.1927,50.5508
05/14/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
05/21/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,19,0,,Demonstrations,285,26.1927,50.5508
05/28/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,24,0,,Demonstrations,285,26.1927,50.5508
06/04/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
06/11/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,17,0,,Demonstrations,285,26.1927,50.5508
06/18/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,22,0,,Demonstrations,285,26.1927,50.5508
06/25/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,22,0,,Demonstrations,285,26.1927,50.5508
07/02/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,20,0,,Demonstrations,285,26.1927,50.5508
07/09/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
07/16/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,17,0,,Demonstrations,285,26.1927,50.5508
07/23/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,15,0,,Demonstrations,285,26.1927,50.5508
07/30/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,15,0,,Demonstrations,285,26.1927,50.5508
08/06/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
08/13/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,20,0,,Demonstrations,285,26.1927,50.5508
08/20/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,14,0,,Demonstrations,285,26.1927,50.5508
08/27/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,5,0,,Demonstrations,285,26.1927,50.5508
09/03/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,,Demonstrations,285,26.1927,50.5508
09/10/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,14,0,,Demonstrations,285,26.1927,50.5508
09/17/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,6,0,,Demonstrations,285,26.1927,50.5508
09/24/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,7,0,,Demonstrations,285,26.1927,50.5508
10/01/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,13,0,,Demonstrations,285,26.1927,50.5508
10/08/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,7,0,,Demonstrations,285,26.1927,50.5508
10/15/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,10,0,,Demonstrations,285,26.1927,50.5508
10/22/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
10/29/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
11/05/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
11/12/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,5,0,,Demonstrations,285,26.1927,50.5508
11/19/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
11/26/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
12/03/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,15,0,,Demonstrations,285,26.1927,50.5508
12/10/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,,Demonstrations,285,26.1927,50.5508
12/17/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,22,0,,Demonstrations,285,26.1927,50.5508
12/24/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,17,0,,Demonstrations,285,26.1927,50.5508
12/31/2016,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,,Demonstrations,285,26.1927,50.5508
01/07/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,,Demonstrations,285,26.1927,50.5508
01/14/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,50,0,,Demonstrations,285,26.1927,50.5508
01/21/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,40,0,,Demonstrations,285,26.1927,50.5508
01/28/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,30,0,,Demonstrations,285,26.1927,50.5508
02/04/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,20,0,,Demonstrations,285,26.1927,50.5508
02/11/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,64,0,,Demonstrations,285,26.1927,50.5508
02/18/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,27,0,,Demonstrations,285,26.1927,50.5508
02/25/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,24,0,,Demonstrations,285,26.1927,50.5508
03/04/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,22,0,,Demonstrations,285,26.1927,50.5508
03/11/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,38,0,,Demonstrations,285,26.1927,50.5508
03/18/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,17,0,,Demonstrations,285,26.1927,50.5508
03/25/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,14,0,,Demonstrations,285,26.1927,50.5508
04/01/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
04/08/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,15,0,,Demonstrations,285,26.1927,50.5508
04/15/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,20,0,,Demonstrations,285,26.1927,50.5508
04/22/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,,Demonstrations,285,26.1927,50.5508
04/29/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,20,0,,Demonstrations,285,26.1927,50.5508
05/06/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,13,0,,Demonstrations,285,26.1927,50.5508
05/13/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,17,0,,Demonstrations,285,26.1927,50.5508
05/20/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,59,0,,Demonstrations,285,26.1927,50.5508
05/27/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,51,0,,Demonstrations,285,26.1927,50.5508
06/03/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,34,0,,Demonstrations,285,26.1927,50.5508
06/10/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
06/17/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,25,0,,Demonstrations,285,26.1927,50.5508
06/24/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,17,0,,Demonstrations,285,26.1927,50.5508
07/01/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,19,0,,Demonstrations,285,26.1927,50.5508
07/08/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
07/15/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
07/22/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,15,0,,Demonstrations,285,26.1927,50.5508
07/29/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
08/05/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,7,0,,Demonstrations,285,26.1927,50.5508
08/12/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,15,0,,Demonstrations,285,26.1927,50.5508
08/19/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,7,0,,Demonstrations,285,26.1927,50.5508
08/26/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,,Demonstrations,285,26.1927,50.5508
09/02/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
09/09/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
09/16/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,3,0,,Demonstrations,285,26.1927,50.5508
09/23/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,5,0,,Demonstrations,285,26.1927,50.5508
09/30/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,5,0,,Demonstrations,285,26.1927,50.5508
10/07/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,6,0,,Demonstrations,285,26.1927,50.5508
10/14/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,15,0,,Demonstrations,285,26.1927,50.5508
10/21/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,5,0,,Demonstrations,285,26.1927,50.5508
10/28/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
11/04/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,5,0,,Demonstrations,285,26.1927,50.5508
11/11/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,4,0,,Demonstrations,285,26.1927,50.5508
11/18/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
11/25/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,24,0,,Demonstrations,285,26.1927,50.5508
12/02/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,29,0,,Demonstrations,285,26.1927,50.5508
12/09/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,10,0,,Demonstrations,285,26.1927,50.5508
12/16/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,21,0,,Demonstrations,285,26.1927,50.5508
12/23/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,13,0,,Demonstrations,285,26.1927,50.5508
12/30/2017,Middle East,Bahrain,Capital,Protests,Peaceful protest,19,0,,Demonstrations,285,26.1927,50.5508
01/06/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
01/13/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,16,0,,Demonstrations,285,26.1927,50.5508
01/20/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,10,0,,Demonstrations,285,26.1927,50.5508
01/27/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,15,0,,Demonstrations,285,26.1927,50.5508
02/03/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,,Demonstrations,285,26.1927,50.5508
02/10/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,27,0,,Demonstrations,285,26.1927,50.5508
02/17/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,22,0,,Demonstrations,285,26.1927,50.5508
02/24/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,,Demonstrations,285,26.1927,50.5508
03/03/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
03/10/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,25,0,,Demonstrations,285,26.1927,50.5508
03/17/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,12,0,,Demonstrations,285,26.1927,50.5508
03/24/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
03/31/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
04/07/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,6,0,,Demonstrations,285,26.1927,50.5508
04/14/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
04/21/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
04/28/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
05/05/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
05/12/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
05/19/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,17,0,,Demonstrations,285,26.1927,50.5508
05/26/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,5,0,,Demonstrations,285,26.1927,50.5508
06/02/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,13,0,,Demonstrations,285,26.1927,50.5508
06/09/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,7,0,,Demonstrations,285,26.1927,50.5508
06/16/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
06/23/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,10,0,,Demonstrations,285,26.1927,50.5508
06/30/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,5,0,,Demonstrations,285,26.1927,50.5508
07/07/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,7,0,,Demonstrations,285,26.1927,50.5508
07/14/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,5,0,,Demonstrations,285,26.1927,50.5508
07/21/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,3,0,,Demonstrations,285,26.1927,50.5508
07/28/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,6,0,,Demonstrations,285,26.1927,50.5508
08/04/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,1,0,,Demonstrations,285,26.1927,50.5508
08/11/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,10,0,,Demonstrations,285,26.1927,50.5508
08/18/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,4,0,,Demonstrations,285,26.1927,50.5508
09/01/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,4,0,,Demonstrations,285,26.1927,50.5508
09/08/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,1,0,,Demonstrations,285,26.1927,50.5508
09/15/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,2,0,,Demonstrations,285,26.1927,50.5508
09/22/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,4,0,,Demonstrations,285,26.1927,50.5508
09/29/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,4,0,,Demonstrations,285,26.1927,50.5508
10/06/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,1,0,,Demonstrations,285,26.1927,50.5508
10/13/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,4,0,,Demonstrations,285,26.1927,50.5508
11/03/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,9,0,,Demonstrations,285,26.1927,50.5508
11/10/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,1,0,,Demonstrations,285,26.1927,50.5508
11/17/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
11/24/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,3,0,,Demonstrations,285,26.1927,50.5508
12/01/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,1,0,,Demonstrations,285,26.1927,50.5508
12/08/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,3,0,,Demonstrations,285,26.1927,50.5508
12/15/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,11,0,,Demonstrations,285,26.1927,50.5508
12/22/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,1,0,,Demonstrations,285,26.1927,50.5508
12/29/2018,Middle East,Bahrain,Capital,Protests,Peaceful protest,2,0,,Demonstrations,285,26.1927,50.5508
01/05/2019,Middle East,Bahrain,Capital,Protests,Peaceful protest,3,0,,Demonstrations,285,26.1927,50.5508
01/12/2019,Middle East,Bahrain,Capital,Protests,Peaceful protest,8,0,,Demonstrations,285,26.1927,50.5508
01/19/2019,Middle East,Bahrain,Capital,Protests,Peaceful protest,2,0,,Demonstrations,285,26.1927,50.5508
01/26/2019,Middle East,Bahrain,Capital,Protests,Peaceful protest,4,0,,Demonstrations,285,26.1927,50.5508
