COUNTRY,POPULATION_EXPOSURE,FATALITIES
Mexico,7455875.0,153
Mexico,10854539.0,157
Mexico,9243824.0,135
Mexico,9637233.0,172
Mexico,6609739.0,123
Mexico,8169978.0,149
Mexico,8023581.0,161
Mexico,9783935.0,199
Mexico,10743196.0,180
Mexico,9960383.0,154
Mexico,9160943.0,144
Mexico,9413589.0,126
Mexico,9990733.0,145
Mexico,8104889.0,192
Mexico,10230149.0,171
Mexico,9917132.0,113
Mexico,9006082.0,138
Mexico,8263408.0,144
Mexico,11351812.0,175
Mexico,9259984.0,185
Mexico,11277652.0,176
Mexico,11646853.0,177
Mexico,9159382.0,141
Mexico,8951900.0,137
Mexico,10906088.0,143
Mexico,8874300.0,170
Mexico,10972025.0,160
Mexico,9392581.0,183
Mexico,7313010.0,170
Mexico,9198531.0,162
Mexico,7462623.0,160
Mexico,7038368.0,193
Mexico,10347356.0,161
Mexico,8817397.0,183
Mexico,9035351.0,131
Mexico,5998064.0,133
Mexico,6035557.0,138
Mexico,8968430.0,160
Mexico,10228332.0,167
Mexico,9673399.0,174
Mexico,9162048.0,168
Mexico,10156054.0,122
Mexico,8714014.0,163
Mexico,7828936.0,165
Mexico,10267828.0,196
Mexico,9557981.0,161
Mexico,6662775.0,124
Mexico,6106799.0,126
Mexico,8217607.0,141
Mexico,8553170.0,155
Mexico,11863762.0,190
Mexico,12156959.0,169
Mexico,8745230.0,115
Mexico,7415909.0,138
Mexico,8584491.0,152
Mexico,13927337.0,173
Mexico,11530440.0,143
Mexico,8115125.0,125
Mexico,10495109.0,128
Mexico,7944662.0,142
Mexico,5247158.0,124
Mexico,7489833.0,155
Mexico,8516138.0,148
Mexico,8617098.0,192
Mexico,8041825.0,146
Mexico,6577637.0,146
Mexico,5915682.0,127
Mexico,8596711.0,164
Mexico,8172088.0,139
Mexico,10638089.0,184
Mexico,7005403.0,157
Mexico,7736907.0,159
Mexico,8712823.0,182
Mexico,8341918.0,155
Mexico,9278136.0,168
Mexico,9792534.0,181
Mexico,7166055.0,151
Mexico,8432311.0,141
Mexico,6669879.0,139
Mexico,9262847.0,169
Mexico,7365041.0,145
Mexico,7395103.0,145
Mexico,8045089.0,134
Mexico,8097760.0,135
Mexico,9059462.0,161
Mexico,11084815.0,155
Mexico,11207211.0,123
Mexico,9500629.0,164
Mexico,9052926.0,173
Mexico,7583665.0,160
Mexico,7237122.0,130
Mexico,8232682.0,200
Mexico,11176734.0,172
Mexico,9689969.0,160
Mexico,10273375.0,178
Mexico,7118113.0,151
Mexico,8107654.0,139
Mexico,10056435.0,159
Mexico,11149825.0,173
Mexico,9152722.0,155
Mexico,9039545.0,145
Mexico,8167919.0,140
Mexico,9152476.0,156
Mexico,9436721.0,179
Mexico,9602950.0,208
Mexico,8439615.0,161
Mexico,7881855.0,169
Mexico,8576084.0,138
Mexico,8607216.0,159
Mexico,6208013.0,126
Mexico,11385586.0,157
Mexico,8973485.0,159
Mexico,8893491.0,155
Mexico,12482950.0,167
Mexico,8359573.0,176
Mexico,8056948.0,148
Mexico,12076097.0,201
Mexico,9077465.0,162
Mexico,9099739.0,172
Mexico,9042685.0,137
Mexico,12489788.0,189
Mexico,8701670.0,140
Mexico,11020423.0,219
Mexico,7018025.0,155
Mexico,8536050.0,143
Mexico,7922923.0,143
Mexico,11055994.0,153
Mexico,10575331.0,132
Mexico,10748502.0,175
Mexico,9801110.0,184
Mexico,8128491.0,144
Mexico,8271448.0,125
Mexico,9151399.0,153
Mexico,9276253.0,161
