WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE
04/11/2020,Israel,HaDarom,Battles,Armed clash,1,0,7718.0,Political violence
05/29/2021,Israel,HaDarom,Battles,Armed clash,1,0,262.0,Political violence
06/05/2021,Israel,HaDarom,Battles,Armed clash,1,0,42139.0,Political violence
06/12/2021,Israel,HaDarom,Battles,Armed clash,2,0,42546.0,Political violence
12/11/2021,Israel,HaDarom,Battles,Armed clash,2,0,22295.0,Political violence
03/12/2022,Israel,HaDarom,Battles,Armed clash,1,1,44926.0,Political violence
04/09/2022,Israel,HaDarom,Battles,Armed clash,1,1,90983.0,Political violence
06/03/2023,Israel,HaDarom,Battles,Armed clash,1,4,217.0,Political violence
10/07/2023,Israel,HaDarom,Battles,Armed clash,82,676,558511.0,Political violence
10/14/2023,Israel,HaDarom,Battles,Armed clash,3,1,11177.0,Political violence
10/21/2023,Israel,HaDarom,Battles,Armed clash,1,2,7285.0,Political violence
10/28/2023,Israel,HaDarom,Battles,Armed clash,1,1,604.0,Political violence
11/04/2023,Israel,HaDarom,Battles,Armed clash,1,2,320.0,Political violence
02/03/2024,Israel,HaDarom,Battles,Armed clash,1,1,1196.0,Political violence
03/09/2024,Israel,HaDarom,Battles,Armed clash,1,2,7497.0,Political violence
03/30/2024,Israel,HaDarom,Battles,Armed clash,1,1,147301.0,Political violence
07/20/2024,Israel,HaDarom,Battles,Armed clash,1,1,957.0,Political violence
09/21/2024,Israel,HaDarom,Battles,Armed clash,2,2,600.0,Political violence
10/12/2024,Israel,HaDarom,Battles,Armed clash,1,2,1449.0,Political violence
08/16/2025,Israel,HaDarom,Battles,Armed clash,1,0,236.0,Political violence
10/11/2025,Israel,HaDarom,Battles,Armed clash,1,1,43391.0,Political violence
10/07/2023,Israel,HaDarom,Battles,Government regains territory,2,3,1366.0,Political violence
10/07/2023,Israel,HaDarom,Battles,Non-state actor overtakes territory,3,18,3323.0,Political violence
10/07/2023,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,6,15,3260.0,Political violence
10/14/2023,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,1266.0,Political violence
11/04/2023,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence
03/30/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence
04/13/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,790.0,Political violence
09/21/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,2,0,44068.0,Political violence
10/05/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence
10/19/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,9304.0,Political violence
10/26/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,92354.0,Political violence
11/23/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,141030.0,Political violence
12/21/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,92354.0,Political violence
06/21/2025,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence
09/06/2025,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,5.0,Political violence
09/13/2025,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence
09/20/2025,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence
03/04/2023,Israel,HaDarom,Explosions/Remote violence,Remote explosive/landmine/IED,1,0,320.0,Political violence
01/11/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,5,0,278952.0,Political violence
01/18/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,2,0,40655.0,Political violence
01/25/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,7,0,106306.0,Political violence
02/01/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,11,0,98724.0,Political violence
02/08/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,8,0,109089.0,Political violence
02/15/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,2,0,220938.0,Political violence
02/22/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,7,0,114079.0,Political violence
03/21/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,13864.0,Political violence
05/02/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,4718.0,Political violence
05/23/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,112.0,Political violence
06/13/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,4718.0,Political violence
06/20/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,4718.0,Political violence
08/08/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,20,0,124816.0,Political violence
08/15/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,24,0,175570.0,Political violence
08/22/2020,Israel,HaDarom,Explosions/Remote violence,Shelling/artillery/missile attack,13,0,91375.0,Political violence
