WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE
02/15/2020,Mexico,Aguascalientes,Battles,Armed clash,2,4,380112.0,Political violence
04/04/2020,Mexico,Aguascalientes,Battles,Armed clash,1,2,41801.0,Political violence
04/18/2020,Mexico,Aguascalientes,Battles,Armed clash,1,1,380112.0,Political violence
07/18/2020,Mexico,Aguascalientes,Battles,Armed clash,1,1,380112.0,Political violence
09/05/2020,Mexico,Aguascalientes,Battles,Armed clash,1,1,380112.0,Political violence
10/31/2020,Mexico,Aguascalientes,Battles,Armed clash,1,1,8082.0,Political violence
10/02/2021,Mexico,Aguascalientes,Battles,Armed clash,1,1,9162.0,Political violence
10/09/2021,Mexico,Aguascalientes,Battles,Armed clash,1,0,7939.0,Political violence
11/13/2021,Mexico,Aguascalientes,Battles,Armed clash,1,3,7939.0,Political violence
01/15/2022,Mexico,Aguascalientes,Battles,Armed clash,1,0,7981.0,Political violence
09/24/2022,Mexico,Aguascalientes,Battles,Armed clash,1,0,34190.0,Political violence
10/01/2022,Mexico,Aguascalientes,Battles,Armed clash,1,0,34190.0,Political violence
07/29/2023,Mexico,Aguascalientes,Battles,Armed clash,1,1,378528.0,Political violence
03/23/2024,Mexico,Aguascalientes,Battles,Armed clash,1,0,5673.0,Political violence
09/28/2024,Mexico,Aguascalientes,Battles,Armed clash,1,0,378528.0,Political violence
10/12/2024,Mexico,Aguascalientes,Battles,Armed clash,1,2,378528.0,Political violence
01/25/2025,Mexico,Aguascalientes,Battles,Armed clash,1,3,8048.0,Political violence
04/26/2025,Mexico,Aguascalientes,Battles,Armed clash,2,0,9288.0,Political violence
05/31/2025,Mexico,Aguascalientes,Battles,Armed clash,1,1,378528.0,Political violence
07/26/2025,Mexico,Aguascalientes,Battles,Armed clash,1,0,6006.0,Political violence
10/04/2025,Mexico,Aguascalientes,Battles,Armed clash,1,2,378528.0,Political violence
02/08/2020,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20607.0,Demonstrations
03/07/2020,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20607.0,Demonstrations
