WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
04/09/2022,North America,Bermuda,Devonshire,Protests,Peaceful protest,1,0,2369,Demonstrations,3888,32.3033,-64.7595
05/01/2021,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2852,Demonstrations,3891,32.2991,-64.7896
06/26/2021,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2852,Demonstrations,3891,32.2991,-64.7896
08/28/2021,North America,Bermuda,Pembroke,Protests,Peaceful protest,2,0,2852,Demonstrations,3891,32.2991,-64.7896
11/06/2021,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2852,Demonstrations,3891,32.2991,-64.7896
02/05/2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2850,Demonstrations,3891,32.2991,-64.7896
02/19/2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2850,Demonstrations,3891,32.2991,-64.7896
04/09/2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2850,Demonstrations,3891,32.2991,-64.7896
04/23/2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2850,Demonstrations,3891,32.2991,-64.7896
05/28/2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2850,Demonstrations,3891,32.2991,-64.7896
09/24/2022,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2850,Demonstrations,3891,32.2991,-64.7896
02/11/2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2845,Demonstrations,3891,32.2991,-64.7896
03/18/2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2845,Demonstrations,3891,32.2991,-64.7896
04/22/2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2845,Demonstrations,3891,32.2991,-64.7896
09/02/2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,2,0,2845,Demonstrations,3891,32.2991,-64.7896
10/07/2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,2,0,2845,Demonstrations,3891,32.2991,-64.7896
11/04/2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2845,Demonstrations,3891,32.2991,-64.7896
11/11/2023,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2845,Demonstrations,3891,32.2991,-64.7896
06/08/2024,North America,Bermuda,Pembroke,Protests,Peaceful protest,1,0,2845,Demonstrations,3891,32.2991,-64.7896
12/18/2021,North America,Bermuda,Pembroke,Strategic developments,Change to group/activity,1,0,,Strategic developments,3891,32.2991,-64.7896
11/26/2022,North America,Bermuda,Saint George,Protests,Peaceful protest,1,0,1021,Demonstrations,4124,32.3675,-64.6767
09/16/2023,North America,Bermuda,Saint George,Protests,Peaceful protest,1,0,1020,Demonstrations,4124,32.3675,-64.6767
06/19/2021,North America,Bermuda,Sandys,Protests,Peaceful protest,1,0,1597,Demonstrations,3892,32.2905,-64.8722
09/23/2023,North America,Bermuda,Warwick,Protests,Peaceful protest,1,0,3159,Demonstrations,3896,32.2679,-64.8053
09/06/2025,North America,Bermuda,Warwick,Protests,Peaceful protest,1,0,3159,Demonstrations,3896,32.2679,-64.8053
01/02/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,33586,Demonstrations,485,54.498,-115.0035
01/09/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,31590,Demonstrations,485,54.498,-115.0035
01/23/2021,North America,Canada,Alberta,Protests,Peaceful protest,8,0,30614,Demonstrations,485,54.498,-115.0035
01/30/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,29819,Demonstrations,485,54.498,-115.0035
02/06/2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,34550,Demonstrations,485,54.498,-115.0035
02/13/2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,35901,Demonstrations,485,54.498,-115.0035
02/20/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,6279,Demonstrations,485,54.498,-115.0035
02/27/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,7910,Demonstrations,485,54.498,-115.0035
03/06/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,33586,Demonstrations,485,54.498,-115.0035
03/13/2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7910,Demonstrations,485,54.498,-115.0035
03/20/2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,31037,Demonstrations,485,54.498,-115.0035
03/27/2021,North America,Canada,Alberta,Protests,Peaceful protest,7,0,31593,Demonstrations,485,54.498,-115.0035
04/03/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,32057,Demonstrations,485,54.498,-115.0035
04/10/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,39970,Demonstrations,485,54.498,-115.0035
04/17/2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7910,Demonstrations,485,54.498,-115.0035
04/24/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,26125,Demonstrations,485,54.498,-115.0035
05/01/2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,29825,Demonstrations,485,54.498,-115.0035
05/08/2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7910,Demonstrations,485,54.498,-115.0035
05/15/2021,North America,Canada,Alberta,Protests,Peaceful protest,7,0,33586,Demonstrations,485,54.498,-115.0035
05/22/2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,29819,Demonstrations,485,54.498,-115.0035
05/29/2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,32421,Demonstrations,485,54.498,-115.0035
06/05/2021,North America,Canada,Alberta,Protests,Peaceful protest,9,0,33956,Demonstrations,485,54.498,-115.0035
06/12/2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,8016,Demonstrations,485,54.498,-115.0035
06/19/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,29819,Demonstrations,485,54.498,-115.0035
06/26/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,31590,Demonstrations,485,54.498,-115.0035
07/10/2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,29819,Demonstrations,485,54.498,-115.0035
07/24/2021,North America,Canada,Alberta,Protests,Peaceful protest,7,0,33407,Demonstrations,485,54.498,-115.0035
07/31/2021,North America,Canada,Alberta,Protests,Peaceful protest,12,0,33261,Demonstrations,485,54.498,-115.0035
08/07/2021,North America,Canada,Alberta,Protests,Peaceful protest,8,0,33586,Demonstrations,485,54.498,-115.0035
08/14/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,29819,Demonstrations,485,54.498,-115.0035
08/21/2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,1771,Demonstrations,485,54.498,-115.0035
08/28/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,29819,Demonstrations,485,54.498,-115.0035
09/04/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,7910,Demonstrations,485,54.498,-115.0035
09/11/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,29819,Demonstrations,485,54.498,-115.0035
09/18/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,29819,Demonstrations,485,54.498,-115.0035
09/25/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,7949,Demonstrations,485,54.498,-115.0035
10/02/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,23680,Demonstrations,485,54.498,-115.0035
10/09/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,29819,Demonstrations,485,54.498,-115.0035
10/16/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30196,Demonstrations,485,54.498,-115.0035
10/23/2021,North America,Canada,Alberta,Protests,Peaceful protest,6,0,7910,Demonstrations,485,54.498,-115.0035
10/30/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,33261,Demonstrations,485,54.498,-115.0035
11/13/2021,North America,Canada,Alberta,Protests,Peaceful protest,5,0,31590,Demonstrations,485,54.498,-115.0035
11/20/2021,North America,Canada,Alberta,Protests,Peaceful protest,8,0,31000,Demonstrations,485,54.498,-115.0035
11/27/2021,North America,Canada,Alberta,Protests,Peaceful protest,2,0,8740,Demonstrations,485,54.498,-115.0035
12/04/2021,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7910,Demonstrations,485,54.498,-115.0035
12/11/2021,North America,Canada,Alberta,Protests,Peaceful protest,3,0,9091,Demonstrations,485,54.498,-115.0035
12/18/2021,North America,Canada,Alberta,Protests,Peaceful protest,4,0,10588,Demonstrations,485,54.498,-115.0035
01/01/2022,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30053,Demonstrations,485,54.498,-115.0035
01/08/2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30053,Demonstrations,485,54.498,-115.0035
01/22/2022,North America,Canada,Alberta,Protests,Peaceful protest,4,0,12221,Demonstrations,485,54.498,-115.0035
01/29/2022,North America,Canada,Alberta,Protests,Peaceful protest,15,0,37031,Demonstrations,485,54.498,-115.0035
02/05/2022,North America,Canada,Alberta,Protests,Peaceful protest,10,0,31486,Demonstrations,485,54.498,-115.0035
02/12/2022,North America,Canada,Alberta,Protests,Peaceful protest,9,0,32412,Demonstrations,485,54.498,-115.0035
