WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,WEEK_RATIO
04/11/2020,Israel,HaDarom,Battles,Armed clash,1,0,7718.0,Political violence,0.0
05/29/2021,Israel,HaDarom,Battles,Armed clash,1,0,262.0,Political violence,0.0
06/05/2021,Israel,HaDarom,Battles,Armed clash,1,0,42139.0,Political violence,0.0
06/12/2021,Israel,HaDarom,Battles,Armed clash,2,0,42546.0,Political violence,0.0
12/11/2021,Israel,HaDarom,Battles,Armed clash,2,0,22295.0,Political violence,0.0
03/12/2022,Israel,HaDarom,Battles,Armed clash,1,1,44926.0,Political violence,2.225882562436006e-05
04/09/2022,Israel,HaDarom,Battles,Armed clash,1,1,90983.0,Political violence,1.0991064264752755e-05
06/03/2023,Israel,HaDarom,Battles,Armed clash,1,4,217.0,Political violence,0.018433179723502304
10/07/2023,Israel,HaDarom,Battles,Armed clash,82,676,558511.0,Political violence,1.4760501474499859e-05
10/14/2023,Israel,HaDarom,Battles,Armed clash,3,1,11177.0,Political violence,2.9823148728042705e-05
10/21/2023,Israel,HaDarom,Battles,Armed clash,1,2,7285.0,Political violence,0.0002745367192862045
10/28/2023,Israel,HaDarom,Battles,Armed clash,1,1,604.0,Political violence,0.0016556291390728477
11/04/2023,Israel,HaDarom,Battles,Armed clash,1,2,320.0,Political violence,0.00625
02/03/2024,Israel,HaDarom,Battles,Armed clash,1,1,1196.0,Political violence,0.0008361204013377926
03/09/2024,Israel,HaDarom,Battles,Armed clash,1,2,7497.0,Political violence,0.0002667733760170735
03/30/2024,Israel,HaDarom,Battles,Armed clash,1,1,147301.0,Political violence,6.788820170942492e-06
07/20/2024,Israel,HaDarom,Battles,Armed clash,1,1,957.0,Political violence,0.0010449320794148381
09/21/2024,Israel,HaDarom,Battles,Armed clash,2,2,600.0,Political violence,0.0016666666666666668
10/12/2024,Israel,HaDarom,Battles,Armed clash,1,2,1449.0,Political violence,0.0013802622498274672
08/16/2025,Israel,HaDarom,Battles,Armed clash,1,0,236.0,Political violence,0.0
10/11/2025,Israel,HaDarom,Battles,Armed clash,1,1,43391.0,Political violence,2.30462538314397e-05
10/07/2023,Israel,HaDarom,Battles,Government regains territory,2,3,1366.0,Political violence,0.0010980966325036604
10/07/2023,Israel,HaDarom,Battles,Non-state actor overtakes territory,3,18,3323.0,Political violence,0.0018055973517905506
10/07/2023,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,6,15,3260.0,Political violence,0.0007668711656441718
10/14/2023,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,1266.0,Political violence,0.0
11/04/2023,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence,0.0
03/30/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence,0.0
04/13/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,790.0,Political violence,0.0
09/21/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,2,0,44068.0,Political violence,0.0
10/05/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence,0.0
10/19/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,9304.0,Political violence,0.0
10/26/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,92354.0,Political violence,0.0
11/23/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,141030.0,Political violence,0.0
12/21/2024,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,92354.0,Political violence,0.0
06/21/2025,Israel,HaDarom,Explosions/Remote violence,Air/drone strike,1,0,43391.0,Political violence,0.0
