WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,WEEK_RATIO
02/15/2020,Mexico,Aguascalientes,Battles,Armed clash,2,4,380112.0,Political violence,5.261607105274235e-06
04/04/2020,Mexico,Aguascalientes,Battles,Armed clash,1,2,41801.0,Political violence,4.784574531709768e-05
04/18/2020,Mexico,Aguascalientes,Battles,Armed clash,1,1,380112.0,Political violence,2.6308035526371175e-06
07/18/2020,Mexico,Aguascalientes,Battles,Armed clash,1,1,380112.0,Political violence,2.6308035526371175e-06
09/05/2020,Mexico,Aguascalientes,Battles,Armed clash,1,1,380112.0,Political violence,2.6308035526371175e-06
10/31/2020,Mexico,Aguascalientes,Battles,Armed clash,1,1,8082.0,Political violence,0.00012373174956693887
10/02/2021,Mexico,Aguascalientes,Battles,Armed clash,1,1,9162.0,Political violence,0.00010914647456887143
10/09/2021,Mexico,Aguascalientes,Battles,Armed clash,1,0,7939.0,Political violence,0.0
11/13/2021,Mexico,Aguascalientes,Battles,Armed clash,1,3,7939.0,Political violence,0.0003778813452575891
01/15/2022,Mexico,Aguascalientes,Battles,Armed clash,1,0,7981.0,Political violence,0.0
09/24/2022,Mexico,Aguascalientes,Battles,Armed clash,1,0,34190.0,Political violence,0.0
10/01/2022,Mexico,Aguascalientes,Battles,Armed clash,1,0,34190.0,Political violence,0.0
07/29/2023,Mexico,Aguascalientes,Battles,Armed clash,1,1,378528.0,Political violence,2.6418124947163752e-06
03/23/2024,Mexico,Aguascalientes,Battles,Armed clash,1,0,5673.0,Political violence,0.0
09/28/2024,Mexico,Aguascalientes,Battles,Armed clash,1,0,378528.0,Political violence,0.0
10/12/2024,Mexico,Aguascalientes,Battles,Armed clash,1,2,378528.0,Political violence,5.2836249894327504e-06
01/25/2025,Mexico,Aguascalientes,Battles,Armed clash,1,3,8048.0,Political violence,0.0003727634194831014
04/26/2025,Mexico,Aguascalientes,Battles,Armed clash,2,0,9288.0,Political violence,0.0
05/31/2025,Mexico,Aguascalientes,Battles,Armed clash,1,1,378528.0,Political violence,2.6418124947163752e-06
07/26/2025,Mexico,Aguascalientes,Battles,Armed clash,1,0,6006.0,Political violence,0.0
10/04/2025,Mexico,Aguascalientes,Battles,Armed clash,1,2,378528.0,Political violence,5.2836249894327504e-06
01/29/2022,Mexico,Aguascalientes,Riots,Mob violence,1,0,92214.0,Political violence,0.0
07/08/2023,Mexico,Aguascalientes,Riots,Mob violence,1,0,92902.0,Political violence,0.0
03/06/2021,Mexico,Aguascalientes,Riots,Violent demonstration,1,0,91636.0,Demonstrations,0.0
10/09/2021,Mexico,Aguascalientes,Violence against civilians,Abduction/forced disappearance,1,0,5010.0,Political violence,0.0
05/11/2024,Mexico,Aguascalientes,Violence against civilians,Abduction/forced disappearance,1,0,4096.0,Political violence,0.0
02/01/2025,Mexico,Aguascalientes,Violence against civilians,Abduction/forced disappearance,1,0,92902.0,Political violence,0.0
02/08/2025,Mexico,Aguascalientes,Violence against civilians,Abduction/forced disappearance,1,0,30380.0,Political violence,0.0
01/11/2020,Mexico,Aguascalientes,Violence against civilians,Attack,1,2,380112.0,Political violence,5.261607105274235e-06
02/15/2020,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,380112.0,Political violence,2.6308035526371175e-06
07/04/2020,Mexico,Aguascalientes,Violence against civilians,Attack,1,2,380112.0,Political violence,5.261607105274235e-06
12/26/2020,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,41720.0,Political violence,2.3969319271332693e-05
01/16/2021,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,6907.0,Political violence,0.00014478065730418415
10/09/2021,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,373370.0,Political violence,2.6783083804269226e-06
01/01/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,375725.0,Political violence,2.6615210592853816e-06
09/03/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,2,375725.0,Political violence,5.323042118570763e-06
10/29/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,9646.0,Political violence,0.00010366991499066971
11/12/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,2,4931.0,Political violence,0.00040559724193875484
12/17/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,375725.0,Political violence,2.6615210592853816e-06
01/21/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence,2.6418124947163752e-06
02/18/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,68369.0,Political violence,1.462651201567962e-05
03/18/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,8048.0,Political violence,0.00012425447316103378
04/01/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence,2.6418124947163752e-06
07/15/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence,2.6418124947163752e-06
07/29/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence,2.6418124947163752e-06
08/05/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,8048.0,Political violence,0.00012425447316103378
01/20/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,68369.0,Political violence,1.462651201567962e-05
02/10/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence,2.6418124947163752e-06
03/23/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,21399.0,Political violence,4.6731155661479505e-05
06/22/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence,2.6418124947163752e-06
07/13/2024,Mexico,Aguascalientes,Violence against civilians,Attack,4,2,134449.0,Political violence,3.7188822527501134e-06
08/31/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence,2.6418124947163752e-06
09/28/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,0,1285.0,Political violence,0.0
01/11/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,4,2120.0,Political violence,0.0018867924528301887
01/25/2025,Mexico,Aguascalientes,Violence against civilians,Attack,3,2,378528.0,Political violence,1.7612083298109167e-06
02/22/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,9288.0,Political violence,0.00010766580534022394
03/01/2025,Mexico,Aguascalientes,Violence against civilians,Attack,2,2,384583.0,Political violence,2.6002189384346164e-06
06/28/2025,Mexico,Aguascalientes,Violence against civilians,Attack,2,1,378528.0,Political violence,1.3209062473581876e-06
07/05/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,0,92902.0,Political violence,0.0
08/09/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence,2.6418124947163752e-06
09/13/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,7833.0,Political violence,0.00012766500702157538
12/28/2019,Mexico,Baja California,Battles,Armed clash,2,0,54766.0,Political violence,0.0
01/18/2020,Mexico,Baja California,Battles,Armed clash,1,0,54766.0,Political violence,0.0
