WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,WEEK_RATIO
04/11/2020,Russia,Altai,Riots,Mob violence,1,0,40726.0,Political violence,0.0
07/02/2022,Russia,Altai,Violence against civilians,Attack,1,0,40439.0,Political violence,0.0
03/11/2023,Russia,Altai,Violence against civilians,Attack,1,0,19884.0,Political violence,0.0
05/31/2025,Russia,Altai,Violence against civilians,Attack,1,0,40363.0,Political violence,0.0
06/21/2025,Russia,Altai,Violence against civilians,Attack,1,0,40363.0,Political violence,0.0
08/30/2025,Russia,Altai,Violence against civilians,Attack,1,0,40363.0,Political violence,0.0
06/07/2025,Russia,Altai,Violence against civilians,Sexual violence,1,0,40363.0,Political violence,0.0
06/14/2025,Russia,Altai,Violence against civilians,Sexual violence,1,0,40363.0,Political violence,0.0
06/21/2025,Russia,Altai,Violence against civilians,Sexual violence,1,0,40363.0,Political violence,0.0
08/23/2025,Russia,Altai,Violence against civilians,Sexual violence,1,0,40363.0,Political violence,0.0
09/13/2025,Russia,Altai,Violence against civilians,Sexual violence,1,0,40363.0,Political violence,0.0
09/20/2025,Russia,Altai,Violence against civilians,Sexual violence,1,0,40363.0,Political violence,0.0
05/31/2025,Russia,Amur,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,10650.0,Political violence,9.389671361502347e-05
07/11/2020,Russia,Amur,Riots,Violent demonstration,1,0,16282.0,Demonstrations,0.0
06/05/2021,Russia,Amur,Violence against civilians,Attack,1,0,37818.0,Political violence,0.0
09/18/2021,Russia,Amur,Violence against civilians,Attack,1,0,37818.0,Political violence,0.0
08/09/2025,Russia,Arkhangelsk,Battles,Armed clash,1,1,13416.0,Political violence,7.453786523553965e-05
09/13/2025,Russia,Arkhangelsk,Violence against civilians,Sexual violence,1,0,22605.0,Political violence,0.0
06/08/2024,Russia,Astrakhan,Explosions/Remote violence,Air/drone strike,1,0,31138.0,Political violence,0.0
