WEEK,COUNTRY,POPULATION_EXPOSURE
01/01/2022,Palestine,402793.0
01/02/2021,Palestine,299.0
01/04/2025,Palestine,3034822.0
01/06/2024,Palestine,3504214.0
01/07/2023,Palestine,797997.0
01/08/2022,Palestine,65617.0
01/11/2025,Palestine,2089865.0
01/13/2024,Israel,90294.0
01/13/2024,Palestine,3908540.0
01/14/2023,Palestine,676401.0
01/15/2022,Palestine,4375.0
01/18/2020,Palestine,17008.0
01/18/2025,Israel,27002.0
01/18/2025,Palestine,2206834.0
01/20/2024,Palestine,3527435.0
01/21/2023,Palestine,1048634.0
01/22/2022,Palestine,458172.0
01/23/2021,Palestine,105269.0
01/25/2025,Palestine,1286364.0
01/27/2024,Israel,65487.0
01/27/2024,Palestine,3462631.0
01/28/2023,Palestine,309373.0
01/30/2021,Israel,23253.0
01/30/2021,Palestine,132901.0
02/01/2020,Palestine,1149270.0
02/01/2025,Palestine,703063.0
02/03/2024,Israel,1196.0
02/03/2024,Palestine,3384883.0
02/04/2023,Palestine,274558.0
02/05/2022,Palestine,48781.0
02/06/2021,Palestine,31286.0
02/08/2025,Palestine,1355779.0
02/10/2024,Israel,41673.0
02/10/2024,Palestine,2727621.0
02/11/2023,Palestine,804653.0
02/12/2022,Palestine,701626.0
02/15/2020,Palestine,110102.0
02/15/2025,Palestine,915660.0
02/17/2024,Palestine,3364559.0
02/18/2023,Palestine,1019598.0
02/19/2022,Palestine,382356.0
02/22/2020,Palestine,265666.0
02/22/2025,Israel,41976.0
02/22/2025,Palestine,766451.0
02/24/2024,Palestine,3387617.0
02/25/2023,Palestine,769138.0
02/26/2022,Palestine,316288.0
03/01/2025,Israel,65487.0
03/01/2025,Palestine,892248.0
03/02/2024,Israel,68818.0
03/02/2024,Palestine,2942198.0
03/04/2023,Israel,27002.0
03/04/2023,Palestine,751686.0
03/05/2022,Palestine,459999.0
03/07/2020,Palestine,45433.0
03/08/2025,Israel,43391.0
03/08/2025,Palestine,1589303.0
03/09/2024,Israel,7497.0
03/09/2024,Palestine,2696239.0
03/11/2023,Israel,848.0
03/11/2023,Palestine,286916.0
03/12/2022,Israel,44926.0
03/12/2022,Palestine,629080.0
03/13/2021,Palestine,2880.0
03/15/2025,Palestine,1917968.0
03/16/2024,Palestine,3364688.0
03/18/2023,Palestine,150303.0
03/19/2022,Israel,96434.0
