COUNTRY,POPULATION_EXPOSURE
Mexico,7455875.0
Mexico,10854539.0
Mexico,9243824.0
Mexico,9637233.0
Mexico,6609739.0
Mexico,8169978.0
Mexico,8023581.0
Mexico,9783935.0
Mexico,10743196.0
Mexico,9960383.0
Mexico,9160943.0
Mexico,9413589.0
Mexico,9990733.0
Mexico,8104889.0
Mexico,10230149.0
Mexico,9917132.0
Mexico,9006082.0
Mexico,8263408.0
Mexico,11351812.0
Mexico,9259984.0
Mexico,11277652.0
Mexico,11646853.0
Mexico,9159382.0
Mexico,8951900.0
Mexico,10906088.0
Mexico,8874300.0
Mexico,10972025.0
Mexico,9392581.0
Mexico,7313010.0
Mexico,9198531.0
Mexico,7462623.0
Mexico,7038368.0
Mexico,10347356.0
Mexico,8817397.0
Mexico,9035351.0
Mexico,5998064.0
Mexico,6035557.0
Mexico,8968430.0
Mexico,10228332.0
Mexico,9673399.0
Mexico,9162048.0
Mexico,10156054.0
Mexico,8714014.0
Mexico,7828936.0
Mexico,10267828.0
Mexico,9557981.0
Mexico,6662775.0
Mexico,6106799.0
Mexico,8217607.0
Mexico,8553170.0
Mexico,11863762.0
Mexico,12156959.0
Mexico,8745230.0
Mexico,7415909.0
Mexico,8584491.0
Mexico,13927337.0
Mexico,11530440.0
Mexico,8115125.0
Mexico,10495109.0
Mexico,7944662.0
Mexico,5247158.0
Mexico,7489833.0
Mexico,8516138.0
Mexico,8617098.0
Mexico,8041825.0
Mexico,6577637.0
Mexico,5915682.0
Mexico,8596711.0
Mexico,8172088.0
Mexico,10638089.0
Mexico,7005403.0
Mexico,7736907.0
Mexico,8712823.0
Mexico,8341918.0
Mexico,9278136.0
Mexico,9792534.0
Mexico,7166055.0
Mexico,8432311.0
Mexico,6669879.0
Mexico,9262847.0
Mexico,7365041.0
Mexico,7395103.0
Mexico,8045089.0
Mexico,8097760.0
Mexico,9059462.0
Mexico,11084815.0
Mexico,11207211.0
Mexico,9500629.0
Mexico,9052926.0
Mexico,7583665.0
Mexico,7237122.0
Mexico,8232682.0
Mexico,11176734.0
Mexico,9689969.0
Mexico,10273375.0
Mexico,7118113.0
Mexico,8107654.0
Mexico,10056435.0
Mexico,11149825.0
Mexico,9152722.0
Mexico,9039545.0
Mexico,8167919.0
Mexico,9152476.0
Mexico,9436721.0
Mexico,9602950.0
Mexico,8439615.0
Mexico,7881855.0
Mexico,8576084.0
Mexico,8607216.0
Mexico,6208013.0
Mexico,11385586.0
Mexico,8973485.0
Mexico,8893491.0
Mexico,12482950.0
Mexico,8359573.0
Mexico,8056948.0
Mexico,12076097.0
Mexico,9077465.0
Mexico,9099739.0
Mexico,9042685.0
Mexico,12489788.0
Mexico,8701670.0
Mexico,11020423.0
Mexico,7018025.0
Mexico,8536050.0
Mexico,7922923.0
Mexico,11055994.0
Mexico,10575331.0
Mexico,10748502.0
Mexico,9801110.0
Mexico,8128491.0
Mexico,8271448.0
Mexico,9151399.0
Mexico,9276253.0
Mexico,11532824.0
Mexico,10416969.0
Mexico,10167209.0
Mexico,8422772.0
Mexico,9268395.0
Mexico,10271004.0
Mexico,10871154.0
Mexico,9419780.0
Mexico,8121957.0
Mexico,7952881.0
Mexico,8408662.0
Mexico,7159653.0
Mexico,9540461.0
Mexico,10655554.0
Mexico,11010696.0
Mexico,11006081.0
Mexico,7022021.0
Mexico,8004337.0
Mexico,9599555.0
Mexico,9635672.0
Mexico,11212874.0
Mexico,8015411.0
Mexico,7797747.0
Mexico,7563160.0
Mexico,8068036.0
Mexico,7435129.0
Mexico,7922880.0
Mexico,7670458.0
