WEEK,COUNTRY,POPULATION_EXPOSURE
01/01/2022,Mexico,5613774.0
01/02/2021,Mexico,9194961.0
01/04/2020,Mexico,7192989.0
01/04/2025,Mexico,8814955.0
01/06/2024,Mexico,6083379.0
01/07/2023,Mexico,7323153.0
01/08/2022,Mexico,6500720.0
01/09/2021,Mexico,8696221.0
01/11/2020,Mexico,9634412.0
01/11/2025,Mexico,8306975.0
01/13/2024,Mexico,8619068.0
01/14/2023,Mexico,8295521.0
01/15/2022,Mexico,8043997.0
01/16/2021,Mexico,7562936.0
01/18/2020,Mexico,8460671.0
01/18/2025,Mexico,8306211.0
01/20/2024,Mexico,7626627.0
01/21/2023,Mexico,7278392.0
01/22/2022,Mexico,10572492.0
01/23/2021,Mexico,7851428.0
01/25/2020,Mexico,9830795.0
01/25/2025,Mexico,10011444.0
01/27/2024,Mexico,8370481.0
01/28/2023,Mexico,7909445.0
01/29/2022,Mexico,8944730.0
01/30/2021,Mexico,8258963.0
02/01/2020,Mexico,8726266.0
02/01/2025,Mexico,8404479.0
02/03/2024,Mexico,6614835.0
02/04/2023,Mexico,8258116.0
02/05/2022,Mexico,5614453.0
02/06/2021,Mexico,6396681.0
02/08/2020,Mexico,8181243.0
02/08/2025,Mexico,7502182.0
02/10/2024,Mexico,8891765.0
02/11/2023,Mexico,4441460.0
02/12/2022,Mexico,5128621.0
02/13/2021,Mexico,8090892.0
02/15/2020,Mexico,8670144.0
02/15/2025,Mexico,8128459.0
02/17/2024,Mexico,8764265.0
02/18/2023,Mexico,8824119.0
02/19/2022,Mexico,7586735.0
02/20/2021,Mexico,7089781.0
02/22/2020,Mexico,9345080.0
02/22/2025,Mexico,7986088.0
02/24/2024,Mexico,5496722.0
02/25/2023,Mexico,5736264.0
02/26/2022,Mexico,7180562.0
02/27/2021,Mexico,7706977.0
02/29/2020,Mexico,10795381.0
03/01/2025,Mexico,10928392.0
03/02/2024,Mexico,7491618.0
03/04/2023,Mexico,5375132.0
03/05/2022,Mexico,6991529.0
03/06/2021,Mexico,12167957.0
03/07/2020,Mexico,9887565.0
03/08/2025,Mexico,5949244.0
03/09/2024,Mexico,9115900.0
03/11/2023,Mexico,7010408.0
03/12/2022,Mexico,4883208.0
03/13/2021,Mexico,6710966.0
03/14/2020,Mexico,7972659.0
03/15/2025,Mexico,7707558.0
03/16/2024,Mexico,7522149.0
03/18/2023,Mexico,5859077.0
03/19/2022,Mexico,5383806.0
03/20/2021,Mexico,8019295.0
03/21/2020,Mexico,7451484.0
03/22/2025,Mexico,9720568.0
03/23/2024,Mexico,5907587.0
03/25/2023,Mexico,6795469.0
03/26/2022,Mexico,7287419.0
03/27/2021,Mexico,7489983.0
03/28/2020,Mexico,8405210.0
03/29/2025,Mexico,8748676.0
03/30/2024,Mexico,6102836.0
04/01/2023,Mexico,7301765.0
04/02/2022,Mexico,5375664.0
04/03/2021,Mexico,8363453.0
04/04/2020,Mexico,6729388.0
04/05/2025,Mexico,6301508.0
04/06/2024,Mexico,7503977.0
04/08/2023,Mexico,7169077.0
04/09/2022,Mexico,7711521.0
04/10/2021,Mexico,10179823.0
04/11/2020,Mexico,10257139.0
04/12/2025,Mexico,8200931.0
04/13/2024,Mexico,8073847.0
04/15/2023,Mexico,6776148.0
04/16/2022,Mexico,6522618.0
04/17/2021,Mexico,6955117.0
04/18/2020,Mexico,10298318.0
04/19/2025,Mexico,9215155.0
04/20/2024,Mexico,9482990.0
04/22/2023,Mexico,5961734.0
04/23/2022,Mexico,6935331.0
04/24/2021,Mexico,8289262.0
04/25/2020,Mexico,8399763.0
04/26/2025,Mexico,7785014.0
04/27/2024,Mexico,8285941.0
04/29/2023,Mexico,7266847.0
04/30/2022,Mexico,7852316.0
05/01/2021,Mexico,8745582.0
05/02/2020,Mexico,9058961.0
05/03/2025,Mexico,7475357.0
05/04/2024,Mexico,7420069.0
05/06/2023,Mexico,7538481.0
05/07/2022,Mexico,7766017.0
05/08/2021,Mexico,5249509.0
05/09/2020,Mexico,9932046.0
05/10/2025,Mexico,8094477.0
05/11/2024,Mexico,7819774.0
05/13/2023,Mexico,10926541.0
05/14/2022,Mexico,7572958.0
05/15/2021,Mexico,7031785.0
05/16/2020,Mexico,10845432.0
05/17/2025,Mexico,7489044.0
05/18/2024,Mexico,8076667.0
05/20/2023,Mexico,8340769.0
05/21/2022,Mexico,11340699.0
05/22/2021,Mexico,7684517.0
05/23/2020,Mexico,9529427.0
05/24/2025,Mexico,6224961.0
05/25/2024,Mexico,8192283.0
05/27/2023,Mexico,7453416.0
05/28/2022,Mexico,9369708.0
05/29/2021,Mexico,9413320.0
05/30/2020,Mexico,9515175.0
05/31/2025,Mexico,8446671.0
06/01/2024,Mexico,5921624.0
06/03/2023,Mexico,7361376.0
06/04/2022,Mexico,8092590.0
06/05/2021,Mexico,7385187.0
06/06/2020,Mexico,9842909.0
06/07/2025,Mexico,9321588.0
06/08/2024,Mexico,9319334.0
06/10/2023,Mexico,7684337.0
06/11/2022,Mexico,8885194.0
06/12/2021,Mexico,9553949.0
06/13/2020,Mexico,9591598.0
06/14/2025,Mexico,8928406.0
