WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
01/01/2022,Israel,259147.0,0
01/01/2022,Palestine,590856.0,2
01/02/2021,Israel,70573.0,0
01/02/2021,Palestine,561475.0,1
01/04/2020,Israel,85221.0,0
01/04/2020,Palestine,327302.0,0
01/04/2025,Israel,155410.0,0
01/04/2025,Palestine,3127742.0,345
01/06/2024,Israel,266913.0,0
01/06/2024,Palestine,3554534.0,1151
01/07/2023,Palestine,866536.0,5
01/08/2022,Israel,205010.0,0
01/08/2022,Palestine,690179.0,1
01/09/2021,Israel,193017.0,0
01/09/2021,Palestine,727213.0,0
01/11/2020,Israel,306956.0,0
01/11/2020,Palestine,313258.0,0
01/11/2025,Israel,126031.0,0
01/11/2025,Palestine,3095019.0,400
01/13/2024,Israel,305760.0,3
01/13/2024,Palestine,4031082.0,1106
01/14/2023,Israel,68080.0,0
01/14/2023,Palestine,687927.0,7
01/15/2022,Israel,36074.0,0
01/15/2022,Palestine,274246.0,1
01/16/2021,Israel,324949.0,0
01/16/2021,Palestine,426204.0,0
01/18/2020,Israel,40751.0,0
01/18/2020,Palestine,552987.0,3
01/18/2025,Israel,92430.0,3
01/18/2025,Palestine,2287197.0,126
01/20/2024,Israel,12453.0,0
01/20/2024,Palestine,3671495.0,1340
01/21/2023,Israel,32032.0,0
01/21/2023,Palestine,1565435.0,23
01/22/2022,Israel,42848.0,0
01/22/2022,Palestine,471999.0,1
01/23/2021,Israel,233559.0,0
01/23/2021,Palestine,539946.0,2
01/25/2020,Israel,149611.0,0
01/25/2020,Palestine,1786810.0,0
01/25/2025,Israel,64514.0,0
01/25/2025,Palestine,1354558.0,55
01/27/2024,Israel,642005.0,1
01/27/2024,Palestine,3696815.0,1073
01/28/2023,Israel,57094.0,0
01/28/2023,Palestine,1464056.0,4
01/29/2022,Israel,71670.0,0
01/29/2022,Palestine,570372.0,0
01/30/2021,Israel,188348.0,2
01/30/2021,Palestine,276204.0,2
02/01/2020,Israel,181348.0,0
02/01/2020,Palestine,1529306.0,7
02/01/2025,Israel,14326.0,0
02/01/2025,Palestine,1021898.0,35
02/03/2024,Israel,273765.0,1
02/03/2024,Palestine,3444899.0,870
02/04/2023,Israel,31309.0,0
02/04/2023,Palestine,445385.0,11
02/05/2022,Israel,23732.0,0
02/05/2022,Palestine,688383.0,3
02/06/2021,Israel,148720.0,0
02/06/2021,Palestine,675509.0,3
02/08/2020,Israel,191669.0,0
02/08/2020,Palestine,710624.0,0
02/08/2025,Israel,37465.0,0
02/08/2025,Palestine,1461882.0,49
02/10/2024,Israel,206210.0,4
02/10/2024,Palestine,3340491.0,799
02/11/2023,Israel,14647.0,0
02/11/2023,Palestine,1062059.0,6
02/12/2022,Israel,30956.0,0
02/12/2022,Palestine,950241.0,2
02/13/2021,Israel,42805.0,0
02/13/2021,Palestine,212937.0,0
02/15/2020,Israel,220938.0,0
02/15/2020,Palestine,789375.0,1
02/15/2025,Israel,135126.0,0
02/15/2025,Palestine,1367038.0,22
02/17/2024,Israel,220157.0,0
02/17/2024,Palestine,3434122.0,814
02/18/2023,Israel,51122.0,0
02/18/2023,Palestine,1539087.0,13
02/19/2022,Israel,74703.0,0
02/19/2022,Palestine,552587.0,1
02/20/2021,Israel,41679.0,0
02/20/2021,Palestine,392181.0,0
02/22/2020,Israel,114079.0,0
02/22/2020,Palestine,1178470.0,3
02/22/2025,Israel,56302.0,2
