WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
01/01/2022,Mexico,7455875.0,153
01/02/2021,Mexico,10854539.0,157
01/04/2020,Mexico,9243824.0,135
01/04/2025,Mexico,9637233.0,172
01/06/2024,Mexico,6609739.0,123
01/07/2023,Mexico,8169978.0,149
01/08/2022,Mexico,8023581.0,161
01/09/2021,Mexico,9783935.0,199
01/11/2020,Mexico,10743196.0,180
01/11/2025,Mexico,9960383.0,154
01/13/2024,Mexico,9160943.0,144
01/14/2023,Mexico,9413589.0,126
01/15/2022,Mexico,9990733.0,145
01/16/2021,Mexico,8104889.0,192
01/18/2020,Mexico,10230149.0,171
01/18/2025,Mexico,9917132.0,113
01/20/2024,Mexico,9006082.0,138
01/21/2023,Mexico,8263408.0,144
01/22/2022,Mexico,11351812.0,175
01/23/2021,Mexico,9259984.0,185
01/25/2020,Mexico,11277652.0,176
01/25/2025,Mexico,11646853.0,177
01/27/2024,Mexico,9159382.0,141
01/28/2023,Mexico,8951900.0,137
01/29/2022,Mexico,10906088.0,143
01/30/2021,Mexico,8874300.0,170
02/01/2020,Mexico,10972025.0,160
02/01/2025,Mexico,9392581.0,183
02/03/2024,Mexico,7313010.0,170
02/04/2023,Mexico,9198531.0,162
02/05/2022,Mexico,7462623.0,160
02/06/2021,Mexico,7038368.0,193
02/08/2020,Mexico,10347356.0,161
02/08/2025,Mexico,8817397.0,183
02/10/2024,Mexico,9035351.0,131
02/11/2023,Mexico,5998064.0,133
02/12/2022,Mexico,6035557.0,138
02/13/2021,Mexico,8968430.0,160
02/15/2020,Mexico,10228332.0,167
02/15/2025,Mexico,9673399.0,174
02/17/2024,Mexico,9162048.0,168
02/18/2023,Mexico,10156054.0,122
02/19/2022,Mexico,8714014.0,163
02/20/2021,Mexico,7828936.0,165
02/22/2020,Mexico,10267828.0,196
02/22/2025,Mexico,9557981.0,161
02/24/2024,Mexico,6662775.0,124
02/25/2023,Mexico,6106799.0,126
02/26/2022,Mexico,8217607.0,141
02/27/2021,Mexico,8553170.0,155
02/29/2020,Mexico,11863762.0,190
03/01/2025,Mexico,12156959.0,169
03/02/2024,Mexico,8745230.0,115
03/04/2023,Mexico,7415909.0,138
03/05/2022,Mexico,8584491.0,152
03/06/2021,Mexico,13927337.0,173
03/07/2020,Mexico,11530440.0,143
03/08/2025,Mexico,8115125.0,125
03/09/2024,Mexico,10495109.0,128
03/11/2023,Mexico,7944662.0,142
03/12/2022,Mexico,5247158.0,124
03/13/2021,Mexico,7489833.0,155
