WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
01/01/2022,Russia,124391.0,0
01/01/2022,Ukraine,210632.0,0
01/02/2021,Ukraine,520348.0,0
01/04/2020,Ukraine,484152.0,3
01/04/2025,Russia,1430230.0,82
01/04/2025,Ukraine,4128590.0,1790
01/06/2024,Russia,872708.0,1
01/06/2024,Ukraine,4813009.0,765
01/07/2023,Russia,90430.0,0
01/07/2023,Ukraine,2865859.0,321
01/08/2022,Ukraine,401429.0,6
01/09/2021,Russia,179335.0,0
01/09/2021,Ukraine,321800.0,1
01/11/2020,Russia,64911.0,0
01/11/2020,Ukraine,531503.0,5
01/11/2025,Russia,1809538.0,63
01/11/2025,Ukraine,6859247.0,1648
01/13/2024,Russia,901686.0,0
01/13/2024,Ukraine,4440782.0,651
01/14/2023,Russia,555656.0,7
01/14/2023,Ukraine,4497945.0,597
01/15/2022,Russia,171225.0,1
01/15/2022,Ukraine,197009.0,1
01/16/2021,Russia,126317.0,6
01/16/2021,Ukraine,241583.0,2
01/18/2020,Ukraine,854622.0,6
01/18/2025,Russia,2670905.0,78
01/18/2025,Ukraine,5294615.0,1599
01/20/2024,Russia,330463.0,76
01/20/2024,Ukraine,4516453.0,717
01/21/2023,Russia,45917.0,0
01/21/2023,Ukraine,4444198.0,859
01/22/2022,Russia,86878.0,0
01/22/2022,Ukraine,328841.0,1
01/23/2021,Russia,138954.0,0
01/23/2021,Ukraine,939109.0,1
01/25/2020,Ukraine,1045425.0,4
01/25/2025,Russia,1325417.0,87
01/25/2025,Ukraine,6307128.0,1271
01/27/2024,Russia,749003.0,0
01/27/2024,Ukraine,4321043.0,1090
01/28/2023,Russia,258577.0,2
01/28/2023,Ukraine,2898848.0,540
01/29/2022,Ukraine,313952.0,0
01/30/2021,Russia,158421.0,0
01/30/2021,Ukraine,256729.0,1
02/01/2020,Russia,21521.0,0
02/01/2020,Ukraine,1405491.0,6
02/01/2025,Russia,1896295.0,90
02/01/2025,Ukraine,6018614.0,1626
02/03/2024,Russia,745595.0,1
02/03/2024,Ukraine,4529556.0,760
02/04/2023,Russia,600451.0,2
02/04/2023,Ukraine,3596310.0,619
02/05/2022,Russia,170895.0,0
02/05/2022,Ukraine,552544.0,1
02/06/2021,Russia,4159.0,0
02/06/2021,Ukraine,291904.0,6
02/08/2020,Russia,21521.0,0
02/08/2020,Ukraine,573261.0,0
02/08/2025,Russia,2345221.0,85
02/08/2025,Ukraine,7376196.0,1511
02/10/2024,Russia,1063923.0,8
02/10/2024,Ukraine,5428744.0,1010
02/11/2023,Russia,983784.0,23
02/11/2023,Ukraine,4316904.0,575
02/12/2022,Russia,233951.0,0
02/12/2022,Ukraine,1065301.0,1
02/13/2021,Russia,115748.0,0
02/13/2021,Ukraine,247514.0,3
02/15/2020,Russia,224950.0,0
02/15/2020,Ukraine,1157794.0,2
02/15/2025,Russia,1968058.0,79
02/15/2025,Ukraine,5589063.0,1866
02/17/2024,Russia,763501.0,11
02/17/2024,Ukraine,3605721.0,1194
02/18/2023,Russia,224018.0,4
02/18/2023,Ukraine,3400286.0,615
02/19/2022,Russia,208889.0,0
02/19/2022,Ukraine,8417493.0,242
02/20/2021,Russia,94205.0,0
02/20/2021,Ukraine,859169.0,4
02/22/2020,Ukraine,1282431.0,3
02/22/2025,Russia,1058550.0,87
02/22/2025,Ukraine,6454139.0,1552
02/24/2024,Russia,400090.0,3
02/24/2024,Ukraine,4342043.0,821
02/25/2023,Russia,258432.0,3
02/25/2023,Ukraine,4173882.0,409
02/26/2022,Russia,217725.0,0
02/26/2022,Ukraine,13038935.0,1043
02/27/2021,Russia,463888.0,2
02/27/2021,Ukraine,327079.0,4
02/29/2020,Russia,4059.0,1
02/29/2020,Ukraine,792645.0,3
03/01/2025,Russia,1579255.0,84
03/01/2025,Ukraine,6059351.0,1685
03/02/2024,Russia,1751279.0,5
03/02/2024,Ukraine,4879322.0,904
03/04/2023,Russia,161149.0,0
03/04/2023,Ukraine,5611877.0,752
03/05/2022,Russia,285640.0,0
03/05/2022,Ukraine,11077586.0,969
03/06/2021,Russia,532497.0,1
03/06/2021,Ukraine,474710.0,4
03/07/2020,Ukraine,1404205.0,4
03/08/2025,Russia,4038554.0,99
03/08/2025,Ukraine,5951200.0,1790
03/09/2024,Russia,2327372.0,540
03/09/2024,Ukraine,5190625.0,756
03/11/2023,Russia,712547.0,4
03/11/2023,Ukraine,4118698.0,607
03/12/2022,Russia,263821.0,0
03/12/2022,Ukraine,11107075.0,1965
03/13/2021,Russia,120771.0,0
03/13/2021,Ukraine,184452.0,3
03/14/2020,Russia,341724.0,0
03/14/2020,Ukraine,847087.0,3
03/15/2025,Russia,1941892.0,99
03/15/2025,Ukraine,5226177.0,1483
03/16/2024,Russia,1421471.0,343
03/16/2024,Ukraine,6772440.0,1530
03/18/2023,Russia,132219.0,1
03/18/2023,Ukraine,5039181.0,783
