EVENT_TYPE,SUB_EVENT_TYPE,EVENTS
Protests,Peaceful protest,1075726
Battles,Armed clash,439843
Violence against civilians,Attack,267672
Explosions/Remote violence,Shelling/artillery/missile attack,235586
Explosions/Remote violence,Air/drone strike,189153
Riots,Mob violence,95710
Riots,Violent demonstration,81922
Explosions/Remote violence,Remote explosive/landmine/IED,64062
Strategic developments,Looting/property destruction,59634
Protests,Protest with intervention,45649
Violence against civilians,Abduction/forced disappearance,37805
Strategic developments,Disrupted weapons use,33740
Strategic developments,Other,32704
Strategic developments,Change to group/activity,29010
Strategic developments,Arrests,25109
Battles,Government regains territory,11439
Explosions/Remote violence,Grenade,8534
Battles,Non-state actor overtakes territory,8193
Protests,Excessive force against protesters,6023
Strategic developments,Non-violent transfer of territory,5587
Violence against civilians,Sexual violence,5326
Strategic developments,Agreement,3810
Explosions/Remote violence,Suicide bomb,2169
Strategic developments,Headquarters or base established,1690
Explosions/Remote violence,Chemical weapon,120
