event,sub_event,sub_event_count
Battles,Armed clash,44984
Battles,Government regains territory,2331
Battles,Non-state actor overtakes territory,2011
Explosions/Remote violence,Air/drone strike,4898
Explosions/Remote violence,Chemical weapon,18
Explosions/Remote violence,Grenade,2295
Explosions/Remote violence,Remote explosive/landmine/IED,8287
Explosions/Remote violence,Shelling/artillery/missile attack,3153
Explosions/Remote violence,Suicide bomb,644
Protests,Excessive force against protesters,1956
Protests,Peaceful protest,50953
Protests,Protest with intervention,7710
Riots,Mob violence,17177
Riots,Violent demonstration,15070
Strategic developments,Agreement,1842
Strategic developments,Arrests,3351
Strategic developments,Change to group/activity,5597
Strategic developments,Disrupted weapons use,2665
Strategic developments,Headquarters or base established,755
Strategic developments,Looting/property destruction,9755
Strategic developments,Non-violent transfer of territory,2025
Strategic developments,Other,4926
Violence against civilians,Abduction/forced disappearance,11806
Violence against civilians,Attack,48972
Violence against civilians,Sexual violence,2708
Abduction/forced disappearance,Political violence,11806
Agreement,Strategic developments,1842
Air/drone strike,Political violence,4898
Armed clash,Political violence,44984
Arrests,Strategic developments,3351
Attack,Political violence,48972
Change to group/activity,Strategic developments,5597
Chemical weapon,Political violence,18
Disrupted weapons use,Strategic developments,2665
Excessive force against protesters,Political violence; Demonstrations,1956
Government regains territory,Political violence,2331
Grenade,Political violence,2295
Headquarters or base established,Strategic developments,755
Looting/property destruction,Strategic developments,9755
Mob violence,Political violence,17177
Non-state actor overtakes territory,Political violence,2011
Non-violent transfer of territory,Strategic developments,2025
Other,Strategic developments,4926
Peaceful protest,Demonstrations,50953
Protest with intervention,Demonstrations,7710
Remote explosive/landmine/IED,Political violence,8287
Sexual violence,Political violence,2708
Shelling/artillery/missile attack,Political violence,3153
Suicide bomb,Political violence,644
Violent demonstration,Demonstrations,15070
Battles,Armed clash,22307
Battles,Government regains territory,448
Battles,Non-state actor overtakes territory,748
Explosions/Remote violence,Air/drone strike,4752
Explosions/Remote violence,Chemical weapon,6
Explosions/Remote violence,Grenade,1909
Explosions/Remote violence,Remote explosive/landmine/IED,11160
Explosions/Remote violence,Shelling/artillery/missile attack,4666
Explosions/Remote violence,Suicide bomb,592
Protests,Excessive force against protesters,724
Protests,Peaceful protest,67117
Protests,Protest with intervention,9559
Riots,Mob violence,14483
Riots,Violent demonstration,10136
Strategic developments,Agreement,816
Strategic developments,Arrests,5023
Strategic developments,Change to group/activity,2836
Strategic developments,Disrupted weapons use,4209
Strategic developments,Headquarters or base established,85
Strategic developments,Looting/property destruction,5269
Strategic developments,Non-violent transfer of territory,191
Strategic developments,Other,3800
Violence against civilians,Abduction/forced disappearance,3819
Violence against civilians,Attack,22392
Violence against civilians,Sexual violence,683
Abduction/forced disappearance,Political violence,3819
Agreement,Strategic developments,816
Air/drone strike,Political violence,4752
Armed clash,Political violence,22307
Arrests,Strategic developments,5023
Attack,Political violence,22392
Change to group/activity,Strategic developments,2836
Chemical weapon,Political violence,6
Disrupted weapons use,Strategic developments,4209
Excessive force against protesters,Political violence; Demonstrations,724
Government regains territory,Political violence,448
Grenade,Political violence,1909
Headquarters or base established,Strategic developments,85
Looting/property destruction,Strategic developments,5269
Mob violence,Political violence,14483
Non-state actor overtakes territory,Political violence,748
Non-violent transfer of territory,Strategic developments,191
Other,Strategic developments,3800
Peaceful protest,Demonstrations,67117
Protest with intervention,Demonstrations,9559
Remote explosive/landmine/IED,Political violence,11160
Sexual violence,Political violence,683
Shelling/artillery/missile attack,Political violence,4666
Suicide bomb,Political violence,592
Violent demonstration,Demonstrations,10136
Battles,Armed clash,4562
Battles,Government regains territory,178
Battles,Non-state actor overtakes territory,290
Explosions/Remote violence,Air/drone strike,3368
Explosions/Remote violence,Chemical weapon,3
Explosions/Remote violence,Grenade,165
Explosions/Remote violence,Remote explosive/landmine/IED,1716
Explosions/Remote violence,Shelling/artillery/missile attack,3242
Explosions/Remote violence,Suicide bomb,11
Protests,Excessive force against protesters,157
Protests,Peaceful protest,67567
Protests,Protest with intervention,6048
Riots,Mob violence,2919
Riots,Violent demonstration,3524
Strategic developments,Agreement,185
Strategic developments,Arrests,729
Strategic developments,Change to group/activity,978
Strategic developments,Disrupted weapons use,4598
Strategic developments,Headquarters or base established,35
Strategic developments,Looting/property destruction,3987
Strategic developments,Non-violent transfer of territory,42
Strategic developments,Other,1681
Violence against civilians,Abduction/forced disappearance,334
Violence against civilians,Attack,3598
Violence against civilians,Sexual violence,177
Abduction/forced disappearance,Political violence,334
Agreement,Strategic developments,185
Air/drone strike,Political violence,3368
Armed clash,Political violence,4562
Arrests,Strategic developments,729
Attack,Political violence,3598
Change to group/activity,Strategic developments,978
Chemical weapon,Political violence,3
Disrupted weapons use,Strategic developments,4598
Excessive force against protesters,Political violence; Demonstrations,157
Government regains territory,Political violence,178
Grenade,Political violence,165
Headquarters or base established,Strategic developments,35
Looting/property destruction,Strategic developments,3987
Mob violence,Political violence,2919
Non-state actor overtakes territory,Political violence,290
Non-violent transfer of territory,Strategic developments,42
Other,Strategic developments,1681
Peaceful protest,Demonstrations,67567
Protest with intervention,Demonstrations,6048
Remote explosive/landmine/IED,Political violence,1716
Sexual violence,Political violence,177
Shelling/artillery/missile attack,Political violence,3242
Suicide bomb,Political violence,11
Violent demonstration,Demonstrations,3524
Battles,Armed clash,23114
Battles,Non-state actor overtakes territory,3
Explosions/Remote violence,Air/drone strike,222
Explosions/Remote violence,Chemical weapon,1
Explosions/Remote violence,Grenade,699
Explosions/Remote violence,Remote explosive/landmine/IED,1962
Explosions/Remote violence,Shelling/artillery/missile attack,39
Explosions/Remote violence,Suicide bomb,5
Protests,Excessive force against protesters,491
Protests,Peaceful protest,55624
Protests,Protest with intervention,3109
Riots,Mob violence,9287
Riots,Violent demonstration,10027
Strategic developments,Agreement,35
Strategic developments,Arrests,3295
Strategic developments,Change to group/activity,1364
Strategic developments,Disrupted weapons use,1766
Strategic developments,Headquarters or base established,6
Strategic developments,Looting/property destruction,7670
Strategic developments,Non-violent transfer of territory,8
Strategic developments,Other,2310
Violence against civilians,Abduction/forced disappearance,4053
Violence against civilians,Attack,35514
Violence against civilians,Sexual violence,655
Abduction/forced disappearance,Political violence,4053
Agreement,Strategic developments,35
Air/drone strike,Political violence,222
Armed clash,Political violence,23114
Arrests,Strategic developments,3295
Attack,Political violence,35514
Change to group/activity,Strategic developments,1364
Chemical weapon,Political violence,1
Disrupted weapons use,Strategic developments,1766
Excessive force against protesters,Political violence; Demonstrations,491
Grenade,Political violence,699
Headquarters or base established,Strategic developments,6
Looting/property destruction,Strategic developments,7670
Mob violence,Political violence,9287
Non-state actor overtakes territory,Political violence,3
Non-violent transfer of territory,Strategic developments,8
Other,Strategic developments,2310
Peaceful protest,Demonstrations,55624
Protest with intervention,Demonstrations,3109
Remote explosive/landmine/IED,Political violence,1962
Sexual violence,Political violence,655
Shelling/artillery/missile attack,Political violence,39
Suicide bomb,Political violence,5
Violent demonstration,Demonstrations,10027
Battles,Armed clash,17205
Battles,Government regains territory,1535
Battles,Non-state actor overtakes territory,695
Explosions/Remote violence,Air/drone strike,10105
Explosions/Remote violence,Chemical weapon,53
Explosions/Remote violence,Grenade,1413
Explosions/Remote violence,Remote explosive/landmine/IED,8963
Explosions/Remote violence,Shelling/artillery/missile attack,9454
Explosions/Remote violence,Suicide bomb,505
Protests,Excessive force against protesters,625
Protests,Peaceful protest,35814
Protests,Protest with intervention,3667
Riots,Mob violence,2303
Riots,Violent demonstration,4804
Strategic developments,Agreement,405
Strategic developments,Arrests,4533
Strategic developments,Change to group/activity,6327
Strategic developments,Disrupted weapons use,4582
Strategic developments,Headquarters or base established,313
Strategic developments,Looting/property destruction,5709
Strategic developments,Non-violent transfer of territory,420
Strategic developments,Other,4117
Violence against civilians,Abduction/forced disappearance,3217
Violence against civilians,Attack,10748
Violence against civilians,Sexual violence,67
Abduction/forced disappearance,Political violence,3217
Agreement,Strategic developments,405
Air/drone strike,Political violence,10105
Armed clash,Political violence,17205
Arrests,Strategic developments,4533
Attack,Political violence,10748
Change to group/activity,Strategic developments,6327
Chemical weapon,Political violence,53
Disrupted weapons use,Strategic developments,4582
Excessive force against protesters,Political violence; Demonstrations,625
Government regains territory,Political violence,1535
Grenade,Political violence,1413
Headquarters or base established,Strategic developments,313
Looting/property destruction,Strategic developments,5709
Mob violence,Political violence,2303
Non-state actor overtakes territory,Political violence,695
Non-violent transfer of territory,Strategic developments,420
Other,Strategic developments,4117
Peaceful protest,Demonstrations,35814
Protest with intervention,Demonstrations,3667
Remote explosive/landmine/IED,Political violence,8963
Sexual violence,Political violence,67
Shelling/artillery/missile attack,Political violence,9454
Suicide bomb,Political violence,505
Violent demonstration,Demonstrations,4804
Battles,Armed clash,32
Explosions/Remote violence,Grenade,1
Explosions/Remote violence,Remote explosive/landmine/IED,16
Explosions/Remote violence,Suicide bomb,2
Protests,Excessive force against protesters,152
Protests,Peaceful protest,14162
Protests,Protest with intervention,1688
Riots,Mob violence,340
Riots,Violent demonstration,748
Strategic developments,Arrests,130
Strategic developments,Change to group/activity,538
Strategic developments,Disrupted weapons use,21
Strategic developments,Looting/property destruction,401
Strategic developments,Other,2114
Violence against civilians,Abduction/forced disappearance,1
Violence against civilians,Attack,388
Violence against civilians,Sexual violence,26
Abduction/forced disappearance,Political violence,1
Armed clash,Political violence,32
Arrests,Strategic developments,130
Attack,Political violence,388
Change to group/activity,Strategic developments,538
Disrupted weapons use,Strategic developments,21
Excessive force against protesters,Political violence; Demonstrations,152
Grenade,Political violence,1
Looting/property destruction,Strategic developments,401
Mob violence,Political violence,340
Other,Strategic developments,2114
Peaceful protest,Demonstrations,14162
Protest with intervention,Demonstrations,1688
Remote explosive/landmine/IED,Political violence,16
Sexual violence,Political violence,26
Suicide bomb,Political violence,2
Violent demonstration,Demonstrations,748
