COUNTRY,EVENT_TYPE,EVENTS
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Riots,2
Algeria,Riots,4
Algeria,Riots,1
Algeria,Riots,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,2
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,2
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,2
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Violence against civilians,1
Algeria,Violence against civilians,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,5
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,2
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,2
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,2
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,2
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,2
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,1
Algeria,Explosions/Remote violence,2
Algeria,Explosions/Remote violence,2
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,2
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,2
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,1
Algeria,Riots,2
Algeria,Riots,1
Algeria,Riots,1
