,COUNTRY,EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE
26,Algeria,Explosions/Remote violence,26.4839,-1.388
27,Algeria,Explosions/Remote violence,26.4839,-1.388
28,Algeria,Explosions/Remote violence,26.4839,-1.388
29,Algeria,Explosions/Remote violence,26.4839,-1.388
30,Algeria,Explosions/Remote violence,26.4839,-1.388
101,Algeria,Riots,26.4839,-1.388
102,Algeria,Riots,26.4839,-1.388
103,Algeria,Riots,26.4839,-1.388
104,Algeria,Riots,26.4839,-1.388
135,Algeria,Violence against civilians,26.4839,-1.388
136,Algeria,Violence against civilians,26.4839,-1.388
137,Algeria,Violence against civilians,26.4839,-1.388
138,Algeria,Violence against civilians,26.4839,-1.388
139,Algeria,Violence against civilians,26.4839,-1.388
196,Algeria,Explosions/Remote violence,36.1614,2.086
197,Algeria,Explosions/Remote violence,36.1614,2.086
198,Algeria,Explosions/Remote violence,36.1614,2.086
199,Algeria,Explosions/Remote violence,36.1614,2.086
200,Algeria,Explosions/Remote violence,36.1614,2.086
201,Algeria,Explosions/Remote violence,36.1614,2.086
202,Algeria,Explosions/Remote violence,36.1614,2.086
203,Algeria,Explosions/Remote violence,36.1614,2.086
204,Algeria,Explosions/Remote violence,36.1614,2.086
205,Algeria,Explosions/Remote violence,36.1614,2.086
206,Algeria,Explosions/Remote violence,36.1614,2.086
207,Algeria,Explosions/Remote violence,36.1614,2.086
208,Algeria,Explosions/Remote violence,36.1614,2.086
209,Algeria,Explosions/Remote violence,36.1614,2.086
210,Algeria,Explosions/Remote violence,36.1614,2.086
211,Algeria,Explosions/Remote violence,36.1614,2.086
240,Algeria,Riots,36.1614,2.086
241,Algeria,Riots,36.1614,2.086
242,Algeria,Riots,36.1614,2.086
254,Algeria,Violence against civilians,36.1614,2.086
255,Algeria,Violence against civilians,36.1614,2.086
256,Algeria,Violence against civilians,36.1614,2.086
257,Algeria,Violence against civilians,36.1614,2.086
258,Algeria,Violence against civilians,36.1614,2.086
259,Algeria,Violence against civilians,36.1614,2.086
260,Algeria,Violence against civilians,36.1614,2.086
261,Algeria,Violence against civilians,36.1614,2.086
262,Algeria,Violence against civilians,36.1614,2.086
263,Algeria,Violence against civilians,36.1614,2.086
264,Algeria,Violence against civilians,36.1614,2.086
265,Algeria,Violence against civilians,36.1614,2.086
266,Algeria,Violence against civilians,36.1614,2.086
267,Algeria,Violence against civilians,36.1614,2.086
268,Algeria,Violence against civilians,36.1614,2.086
269,Algeria,Violence against civilians,36.1614,2.086
270,Algeria,Violence against civilians,36.1614,2.086
271,Algeria,Violence against civilians,36.1614,2.086
272,Algeria,Violence against civilians,36.1614,2.086
273,Algeria,Violence against civilians,36.1614,2.086
274,Algeria,Violence against civilians,36.1614,2.086
275,Algeria,Violence against civilians,36.1614,2.086
276,Algeria,Violence against civilians,36.1614,2.086
277,Algeria,Violence against civilians,36.1614,2.086
278,Algeria,Violence against civilians,36.1614,2.086
279,Algeria,Violence against civilians,36.1614,2.086
280,Algeria,Violence against civilians,36.1614,2.086
281,Algeria,Violence against civilians,36.1614,2.086
284,Algeria,Riots,27.1778,3.5079
364,Algeria,Riots,35.3667,-0.9465
366,Algeria,Violence against civilians,35.3667,-0.9465
367,Algeria,Violence against civilians,35.3667,-0.9465
408,Algeria,Explosions/Remote violence,36.7019,3.032
409,Algeria,Explosions/Remote violence,36.7019,3.032
410,Algeria,Explosions/Remote violence,36.7019,3.032
411,Algeria,Explosions/Remote violence,36.7019,3.032
412,Algeria,Explosions/Remote violence,36.7019,3.032
413,Algeria,Explosions/Remote violence,36.7019,3.032
414,Algeria,Explosions/Remote violence,36.7019,3.032
415,Algeria,Explosions/Remote violence,36.7019,3.032
416,Algeria,Explosions/Remote violence,36.7019,3.032
417,Algeria,Explosions/Remote violence,36.7019,3.032
418,Algeria,Explosions/Remote violence,36.7019,3.032
419,Algeria,Explosions/Remote violence,36.7019,3.032
420,Algeria,Explosions/Remote violence,36.7019,3.032
421,Algeria,Explosions/Remote violence,36.7019,3.032
422,Algeria,Explosions/Remote violence,36.7019,3.032
423,Algeria,Explosions/Remote violence,36.7019,3.032
424,Algeria,Explosions/Remote violence,36.7019,3.032
425,Algeria,Explosions/Remote violence,36.7019,3.032
426,Algeria,Explosions/Remote violence,36.7019,3.032
427,Algeria,Explosions/Remote violence,36.7019,3.032
428,Algeria,Explosions/Remote violence,36.7019,3.032
429,Algeria,Explosions/Remote violence,36.7019,3.032
430,Algeria,Explosions/Remote violence,36.7019,3.032
431,Algeria,Explosions/Remote violence,36.7019,3.032
432,Algeria,Explosions/Remote violence,36.7019,3.032
433,Algeria,Explosions/Remote violence,36.7019,3.032
434,Algeria,Explosions/Remote violence,36.7019,3.032
435,Algeria,Explosions/Remote violence,36.7019,3.032
436,Algeria,Explosions/Remote violence,36.7019,3.032
437,Algeria,Explosions/Remote violence,36.7019,3.032
885,Algeria,Riots,36.7019,3.032
886,Algeria,Riots,36.7019,3.032
887,Algeria,Riots,36.7019,3.032
888,Algeria,Riots,36.7019,3.032
889,Algeria,Riots,36.7019,3.032
890,Algeria,Riots,36.7019,3.032
891,Algeria,Riots,36.7019,3.032
892,Algeria,Riots,36.7019,3.032
893,Algeria,Riots,36.7019,3.032
894,Algeria,Riots,36.7019,3.032
895,Algeria,Riots,36.7019,3.032
896,Algeria,Riots,36.7019,3.032
897,Algeria,Riots,36.7019,3.032
898,Algeria,Riots,36.7019,3.032
899,Algeria,Riots,36.7019,3.032
900,Algeria,Riots,36.7019,3.032
901,Algeria,Riots,36.7019,3.032
