COUNTRY,EVENT_TYPE,EVENTS
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,3
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,3
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,9
Afghanistan,Explosions/Remote violence,10
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,7
Afghanistan,Explosions/Remote violence,3
Afghanistan,Explosions/Remote violence,3
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,4
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,4
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,3
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,7
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,1
Afghanistan,Explosions/Remote violence,2
Afghanistan,Explosions/Remote violence,1
