,COUNTRY,EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE
296,Afghanistan,Explosions/Remote violence,36.966,73.3417
297,Afghanistan,Explosions/Remote violence,36.966,73.3417
298,Afghanistan,Explosions/Remote violence,36.966,73.3417
299,Afghanistan,Explosions/Remote violence,36.966,73.3417
300,Afghanistan,Explosions/Remote violence,36.966,73.3417
301,Afghanistan,Explosions/Remote violence,36.966,73.3417
302,Afghanistan,Explosions/Remote violence,36.966,73.3417
303,Afghanistan,Explosions/Remote violence,36.966,73.3417
304,Afghanistan,Explosions/Remote violence,36.966,73.3417
305,Afghanistan,Explosions/Remote violence,36.966,73.3417
306,Afghanistan,Explosions/Remote violence,36.966,73.3417
307,Afghanistan,Explosions/Remote violence,36.966,73.3417
308,Afghanistan,Explosions/Remote violence,36.966,73.3417
309,Afghanistan,Explosions/Remote violence,36.966,73.3417
310,Afghanistan,Explosions/Remote violence,36.966,73.3417
311,Afghanistan,Explosions/Remote violence,36.966,73.3417
312,Afghanistan,Explosions/Remote violence,36.966,73.3417
313,Afghanistan,Explosions/Remote violence,36.966,73.3417
314,Afghanistan,Explosions/Remote violence,36.966,73.3417
315,Afghanistan,Explosions/Remote violence,36.966,73.3417
316,Afghanistan,Explosions/Remote violence,36.966,73.3417
317,Afghanistan,Explosions/Remote violence,36.966,73.3417
318,Afghanistan,Explosions/Remote violence,36.966,73.3417
319,Afghanistan,Explosions/Remote violence,36.966,73.3417
320,Afghanistan,Explosions/Remote violence,36.966,73.3417
321,Afghanistan,Explosions/Remote violence,36.966,73.3417
322,Afghanistan,Explosions/Remote violence,36.966,73.3417
323,Afghanistan,Explosions/Remote violence,36.966,73.3417
324,Afghanistan,Explosions/Remote violence,36.966,73.3417
325,Afghanistan,Explosions/Remote violence,36.966,73.3417
326,Afghanistan,Explosions/Remote violence,36.966,73.3417
327,Afghanistan,Explosions/Remote violence,36.966,73.3417
328,Afghanistan,Explosions/Remote violence,36.966,73.3417
329,Afghanistan,Explosions/Remote violence,36.966,73.3417
330,Afghanistan,Explosions/Remote violence,36.966,73.3417
331,Afghanistan,Explosions/Remote violence,36.966,73.3417
332,Afghanistan,Explosions/Remote violence,36.966,73.3417
333,Afghanistan,Explosions/Remote violence,36.966,73.3417
334,Afghanistan,Explosions/Remote violence,36.966,73.3417
335,Afghanistan,Explosions/Remote violence,36.966,73.3417
336,Afghanistan,Explosions/Remote violence,36.966,73.3417
337,Afghanistan,Explosions/Remote violence,36.966,73.3417
338,Afghanistan,Explosions/Remote violence,36.966,73.3417
