COUNTRY,EVENT_TYPE
Algeria,Riots
Angola,Violence against civilians
Benin,Violence against civilians
Botswana,Riots
Burkina Faso,Violence against civilians
Burundi,Violence against civilians
Cameroon,Violence against civilians
Cape Verde,Riots
Central African Republic,Violence against civilians
Chad,Violence against civilians
Comoros,Riots
Democratic Republic of the Congo,Violence against civilians
Djibouti,Violence against civilians
Egypt,Riots
Equatorial Guinea,Violence against civilians
Eritrea,Violence against civilians
Ethiopia,Violence against civilians
Gabon,Riots
Gambia,Riots
Ghana,Riots
Guinea,Riots
Guinea Bissau,Violence against civilians
Ivory Coast,Riots
Kenya,Riots
Lesotho,Violence against civilians
Liberia,Riots
Libya,Explosions/Remote violence
Madagascar,Violence against civilians
Malawi,Riots
Mali,Violence against civilians
Mauritania,Riots
Mauritius,Riots
Mayotte,Riots
Morocco,Riots
Mozambique,Violence against civilians
Namibia,Violence against civilians
Niger,Violence against civilians
Nigeria,Violence against civilians
Republic of the Congo,Violence against civilians
Reunion,Riots
Rwanda,Violence against civilians
Sao Tome and Principe,Riots
Senegal,Riots
Seychelles,Riots
Sierra Leone,Violence against civilians
Somalia,Explosions/Remote violence
South Africa,Riots
South Sudan,Violence against civilians
Sudan,Violence against civilians
United Republic of Tanzania,Violence against civilians
Togo,Riots
Tunisia,Riots
Uganda,Violence against civilians
Zambia,Riots
Zimbabwe,Violence against civilians
Swaziland,Riots
Afghanistan,Explosions/Remote violence
Australia,Riots
Bangladesh,Riots
Bhutan,Violence against civilians
Cambodia,Riots
China,Violence against civilians
Christmas Island,Riots
East Timor,Riots
Fiji,Riots
French Polynesia,Riots
India,Riots
Indonesia,Riots
Japan,Riots
Laos,Violence against civilians
Malaysia,Violence against civilians
Maldives,Riots
Mongolia,Riots
Myanmar,Explosions/Remote violence
Nepal,Riots
New Caledonia,Riots
New Zealand,Riots
North Korea,Violence against civilians
Pakistan,Explosions/Remote violence
Papua New Guinea,Riots
Philippines,Violence against civilians
Samoa,Riots
Solomon Islands,Riots
South Korea,Riots
Sri Lanka,Riots
Taiwan,Riots
Thailand,Explosions/Remote violence
Vanuatu,Riots
Vietnam,Violence against civilians
Akrotiri and Dhekelia,Riots
Albania,Riots
Andorra,Violence against civilians
Armenia,Explosions/Remote violence
Austria,Riots
Azerbaijan,Explosions/Remote violence
Belarus,Violence against civilians
Belgium,Riots
Bosnia and Herzegovina,Violence against civilians
Bulgaria,Riots
Croatia,Violence against civilians
Cyprus,Riots
Czech Republic,Riots
Denmark,Riots
Estonia,Riots
Faroe Islands,Riots
Finland,Riots
France,Riots
Georgia,Riots
Germany,Riots
Greece,Riots
Hungary,Violence against civilians
Iceland,Riots
Ireland,Riots
Italy,Riots
Kazakhstan,Violence against civilians
Kosovo,Violence against civilians
Kyrgyzstan,Violence against civilians
Latvia,Riots
Lithuania,Riots
Luxembourg,Riots
Malta,Riots
Moldova,Riots
Montenegro,Explosions/Remote violence
Netherlands,Riots
Macedonia,Violence against civilians
Norway,Riots
Poland,Riots
Portugal,Riots
Romania,Riots
Russia,Explosions/Remote violence
Republic of Serbia,Riots
Slovakia,Riots
Slovenia,Riots
Spain,Riots
Sweden,Riots
Switzerland,Riots
Tajikistan,Violence against civilians
Turkmenistan,Violence against civilians
Ukraine,Explosions/Remote violence
England,Riots
Uzbekistan,Violence against civilians
Anguilla,Riots
Antigua and Barbuda,Violence against civilians
Argentina,Riots
Aruba,Violence against civilians
The Bahamas,Violence against civilians
Barbados,Riots
Belize,Violence against civilians
Bolivia,Riots
Brazil,Violence against civilians
Chile,Riots
Colombia,Violence against civilians
Costa Rica,Riots
Cuba,Violence against civilians
Curacao,Riots
Dominica,Riots
Dominican Republic,Riots
Ecuador,Violence against civilians
El Salvador,Violence against civilians
French Guiana,Riots
Grenada,Riots
Guadeloupe,Riots
Guatemala,Violence against civilians
Guyana,Riots
Haiti,Violence against civilians
Honduras,Violence against civilians
Jamaica,Violence against civilians
Martinique,Riots
Mexico,Violence against civilians
Nicaragua,Violence against civilians
Panama,Riots
Paraguay,Riots
Peru,Riots
Puerto Rico,Violence against civilians
Saint Kitts and Nevis,Violence against civilians
Saint Lucia,Riots
Saint Vincent and the Grenadines,Riots
Saint-Martin,Riots
Sint Maarten,Violence against civilians
Suriname,Riots
Trinidad and Tobago,Violence against civilians
Turks and Caicos Islands,Riots
Uruguay,Riots
Venezuela,Violence against civilians
"Virgin Islands, U.S.",Riots
Bahrain,Riots
Iran,Riots
Iraq,Explosions/Remote violence
Israel,Riots
Jordan,Riots
Kuwait,Riots
Lebanon,Riots
Oman,Riots
West Bank,Riots
Qatar,Explosions/Remote violence
Saudi Arabia,Explosions/Remote violence
Syria,Explosions/Remote violence
Turkey,Explosions/Remote violence
United Arab Emirates,Explosions/Remote violence
Yemen,Explosions/Remote violence
Canada,Riots
Saint Pierre and Miquelon,Riots
USA,Riots
