COUNTRY,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENT_TYPE,EVENTS
Russia,43.089,46.9834,Explosions/Remote violence,3
Russia,43.089,46.9834,Riots,15
Russia,43.089,46.9834,Violence against civilians,49
Russia,43.1159,45.0129,Explosions/Remote violence,8
Russia,43.1159,45.0129,Riots,3
Russia,43.1159,45.0129,Violence against civilians,20
Russia,43.191,44.2456,Explosions/Remote violence,2
Russia,43.191,44.2456,Riots,5
Russia,43.191,44.2456,Violence against civilians,11
Russia,43.2434,45.7661,Explosions/Remote violence,7
Russia,43.2434,45.7661,Violence against civilians,79
Russia,43.4573,43.4358,Riots,4
Russia,43.4573,43.4358,Violence against civilians,9
Russia,43.8425,41.6987,Explosions/Remote violence,1
Russia,43.8425,41.6987,Violence against civilians,9
Russia,44.4888,40.1402,Explosions/Remote violence,6
Russia,44.4888,40.1402,Violence against civilians,5
Russia,44.9414,43.6631,Explosions/Remote violence,11
Russia,44.9414,43.6631,Riots,1
Russia,44.9414,43.6631,Violence against civilians,16
Russia,45.1326,38.0694,Explosions/Remote violence,153
Russia,45.1326,38.0694,Riots,4
Russia,45.1326,38.0694,Violence against civilians,68
Russia,45.3796,135.1381,Explosions/Remote violence,4
Russia,45.3796,135.1381,Riots,1
Russia,45.3796,135.1381,Violence against civilians,18
Russia,46.5148,45.4414,Explosions/Remote violence,1
Russia,46.5148,45.4414,Violence against civilians,8
Russia,47.1094,47.7101,Explosions/Remote violence,11
Russia,47.1094,47.7101,Violence against civilians,4
Russia,48.0823,40.9463,Explosions/Remote violence,165
Russia,48.0823,40.9463,Riots,3
Russia,48.0823,40.9463,Violence against civilians,36
Russia,49.3455,44.407,Explosions/Remote violence,51
Russia,49.3455,44.407,Riots,2
Russia,49.3455,44.407,Violence against civilians,16
Russia,50.1592,143.0267,Violence against civilians,3
Russia,50.6124,37.2397,Explosions/Remote violence,21330
Russia,50.6124,37.2397,Riots,1
Russia,50.6124,37.2397,Violence against civilians,22
Russia,50.8307,40.0384,Explosions/Remote violence,93
Russia,50.8307,40.0384,Violence against civilians,20
Russia,50.8658,86.8913,Violence against civilians,1
Russia,51.3129,46.5936,Explosions/Remote violence,28
Russia,51.3129,46.5936,Riots,2
Russia,51.3129,46.5936,Violence against civilians,24
Russia,51.6735,36.1629,Explosions/Remote violence,4270
Russia,51.6735,36.1629,Violence against civilians,62
Russia,51.7358,94.2284,Riots,1
Russia,51.7358,94.2284,Violence against civilians,1
Russia,52.4308,53.538,Explosions/Remote violence,7
Russia,52.4308,53.538,Violence against civilians,21
Russia,52.5418,82.7009,Riots,1
Russia,52.5418,82.7009,Violence against civilians,12
Russia,52.7039,41.5692,Explosions/Remote violence,17
Russia,52.7039,41.5692,Violence against civilians,2
Russia,52.7372,38.9229,Explosions/Remote violence,27
Russia,52.7372,38.9229,Violence against civilians,2
Russia,52.7951,36.4173,Explosions/Remote violence,26
Russia,52.7951,36.4173,Violence against civilians,1
Russia,52.939,33.1688,Explosions/Remote violence,409
