COUNTRY,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENT_TYPE,EVENTS
Mexico,16.2598,-92.2326,Explosions/Remote violence,7
Mexico,16.2598,-92.2326,Riots,389
Mexico,16.2598,-92.2326,Violence against civilians,540
Mexico,17.1631,-96.278,Explosions/Remote violence,3
Mexico,17.1631,-96.278,Riots,426
Mexico,17.1631,-96.278,Violence against civilians,910
Mexico,17.6017,-99.9455,Explosions/Remote violence,49
Mexico,17.6017,-99.9455,Riots,278
Mexico,17.6017,-99.9455,Violence against civilians,2564
Mexico,17.9234,-92.5903,Riots,133
Mexico,17.9234,-92.5903,Violence against civilians,1108
Mexico,17.9603,-95.1781,Explosions/Remote violence,15
Mexico,17.9603,-95.1781,Riots,349
Mexico,17.9603,-95.1781,Violence against civilians,2379
Mexico,18.7341,-99.1011,Explosions/Remote violence,1
Mexico,18.7341,-99.1011,Riots,155
Mexico,18.7341,-99.1011,Violence against civilians,2028
Mexico,19.1002,-103.9241,Explosions/Remote violence,4
Mexico,19.1002,-103.9241,Riots,15
Mexico,19.1002,-103.9241,Violence against civilians,1491
Mexico,19.1612,-101.6684,Explosions/Remote violence,89
Mexico,19.1612,-101.6684,Riots,401
Mexico,19.1612,-101.6684,Violence against civilians,2985
Mexico,19.32,-99.1522,Explosions/Remote violence,3
Mexico,19.32,-99.1522,Riots,519
Mexico,19.32,-99.1522,Violence against civilians,1373
Mexico,19.3277,-99.8217,Explosions/Remote violence,4
Mexico,19.3277,-99.8217,Riots,525
Mexico,19.3277,-99.8217,Violence against civilians,1822
Mexico,19.3333,-89.9417,Explosions/Remote violence,1
Mexico,19.3333,-89.9417,Riots,288
Mexico,19.3333,-89.9417,Violence against civilians,299
Mexico,19.3503,-97.4203,Explosions/Remote violence,5
Mexico,19.3503,-97.4203,Riots,646
Mexico,19.3503,-97.4203,Violence against civilians,1901
Mexico,19.4175,-98.1101,Riots,76
Mexico,19.4175,-98.1101,Violence against civilians,98
Mexico,19.7414,-88.3237,Explosions/Remote violence,7
Mexico,19.7414,-88.3237,Riots,60
Mexico,19.7414,-88.3237,Violence against civilians,990
Mexico,20.4972,-99.2137,Explosions/Remote violence,3
Mexico,20.4972,-99.2137,Riots,359
Mexico,20.4972,-99.2137,Violence against civilians,594
Mexico,20.6151,-89.0852,Riots,103
Mexico,20.6151,-89.0852,Violence against civilians,69
Mexico,20.8381,-103.217,Explosions/Remote violence,6
Mexico,20.8381,-103.217,Riots,62
Mexico,20.8381,-103.217,Violence against civilians,2689
Mexico,20.8445,-99.9978,Riots,10
Mexico,20.8445,-99.9978,Violence against civilians,59
Mexico,20.8769,-101.2589,Explosions/Remote violence,24
Mexico,20.8769,-101.2589,Riots,111
Mexico,20.8769,-101.2589,Violence against civilians,4918
Mexico,21.8428,-104.8277,Riots,11
Mexico,21.8428,-104.8277,Violence against civilians,133
Mexico,22.0396,-102.3127,Riots,12
Mexico,22.0396,-102.3127,Violence against civilians,52
Mexico,22.8281,-101.0965,Riots,61
Mexico,22.8281,-101.0965,Violence against civilians,510
Mexico,23.0824,-103.2086,Explosions/Remote violence,6
Mexico,23.0824,-103.2086,Riots,23
Mexico,23.0824,-103.2086,Violence against civilians,1374
Mexico,24.5851,-104.5837,Explosions/Remote violence,4
Mexico,24.5851,-104.5837,Riots,31
Mexico,24.5851,-104.5837,Violence against civilians,172
Mexico,24.7569,-107.3863,Explosions/Remote violence,21
Mexico,24.7569,-107.3863,Riots,42
Mexico,24.7569,-107.3863,Violence against civilians,2638
Mexico,24.9437,-98.4314,Explosions/Remote violence,9
Mexico,24.9437,-98.4314,Riots,92
Mexico,24.9437,-98.4314,Violence against civilians,467
Mexico,25.4369,-111.5449,Riots,19
Mexico,25.4369,-111.5449,Violence against civilians,156
Mexico,25.4801,-99.5024,Explosions/Remote violence,4
Mexico,25.4801,-99.5024,Riots,116
Mexico,25.4801,-99.5024,Violence against civilians,3692
Mexico,27.2043,-102.3112,Riots,69
Mexico,27.2043,-102.3112,Violence against civilians,267
Mexico,28.7044,-106.0382,Explosions/Remote violence,7
Mexico,28.7044,-106.0382,Riots,41
Mexico,28.7044,-106.0382,Violence against civilians,1239
Mexico,29.4014,-110.5536,Explosions/Remote violence,4
Mexico,29.4014,-110.5536,Riots,40
Mexico,29.4014,-110.5536,Violence against civilians,1610
Mexico,30.3589,-115.2442,Explosions/Remote violence,3
Mexico,30.3589,-115.2442,Riots,66
Mexico,30.3589,-115.2442,Violence against civilians,2943
