WEEK,COUNTRY,EVENT_TYPE,EVENTS,CENTROID_LATITUDE,CENTROID_LONGITUDE
03/06/2021,Israel,Explosions/Remote violence,1,33.8438,28.4103
06/22/2024,Israel,Explosions/Remote violence,2,33.8438,28.4103
08/24/2024,Israel,Explosions/Remote violence,1,33.8438,28.4103
08/06/2022,Israel,Explosions/Remote violence,1,33.8438,28.4103
05/18/2024,Israel,Explosions/Remote violence,1,33.8438,28.4103
05/25/2024,Israel,Explosions/Remote violence,1,33.8438,28.4103
06/22/2024,Israel,Explosions/Remote violence,1,33.8438,28.4103
06/29/2024,Israel,Explosions/Remote violence,1,33.8438,28.4103
02/25/2017,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/07/2019,Israel,Explosions/Remote violence,1,30.6783,34.8831
10/07/2023,Israel,Explosions/Remote violence,6,30.6783,34.8831
10/14/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
11/04/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/30/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
04/13/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/21/2024,Israel,Explosions/Remote violence,2,30.6783,34.8831
10/05/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
10/19/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
10/26/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
11/23/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
12/21/2024,Israel,Explosions/Remote violence,1,30.6783,34.8831
06/21/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/06/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/13/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/20/2025,Israel,Explosions/Remote violence,1,30.6783,34.8831
02/17/2018,Israel,Explosions/Remote violence,1,30.6783,34.8831
05/05/2018,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/04/2023,Israel,Explosions/Remote violence,1,30.6783,34.8831
12/26/2015,Israel,Explosions/Remote violence,1,30.6783,34.8831
01/23/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/05/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/12/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
04/30/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
05/21/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
06/25/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
08/20/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/03/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
09/10/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
10/01/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
10/22/2016,Israel,Explosions/Remote violence,1,30.6783,34.8831
02/04/2017,Israel,Explosions/Remote violence,2,30.6783,34.8831
02/18/2017,Israel,Explosions/Remote violence,1,30.6783,34.8831
02/25/2017,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/11/2017,Israel,Explosions/Remote violence,1,30.6783,34.8831
03/18/2017,Israel,Explosions/Remote violence,1,30.6783,34.8831
04/08/2017,Israel,Explosions/Remote violence,1,30.6783,34.8831
05/20/2017,Israel,Explosions/Remote violence,2,30.6783,34.8831
06/24/2017,Israel,Explosions/Remote violence,1,30.6783,34.8831
