COUNTRY,EVENT_TYPE,EVENTS
Akrotiri and Dhekelia,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Explosions/Remote violence,1
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Riots,1
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Explosions/Remote violence,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Explosions/Remote violence,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Explosions/Remote violence,3
Albania,Explosions/Remote violence,1
Albania,Explosions/Remote violence,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,3
Albania,Riots,2
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,3
Albania,Riots,7
Albania,Riots,4
Albania,Riots,4
Albania,Riots,3
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,3
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,2
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,5
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,3
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,2
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,2
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Explosions/Remote violence,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Riots,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Albania,Violence against civilians,1
Andorra,Violence against civilians,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,7
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,5
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,4
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Riots,1
Armenia,Riots,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,2
Armenia,Violence against civilians,1
Armenia,Violence against civilians,2
Armenia,Riots,1
Armenia,Riots,1
Armenia,Riots,1
Armenia,Riots,1
Armenia,Riots,1
Armenia,Riots,2
Armenia,Riots,1
Armenia,Riots,1
Armenia,Riots,1
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,3
Armenia,Explosions/Remote violence,3
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,3
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,7
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,20
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Explosions/Remote violence,1
Armenia,Riots,1
Armenia,Violence against civilians,1
Armenia,Riots,1
Armenia,Riots,1
Armenia,Explosions/Remote violence,1
Armenia,Riots,1
Armenia,Riots,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,3
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,13
Armenia,Riots,2
Armenia,Riots,1
Armenia,Riots,3
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,3
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,1
Armenia,Violence against civilians,2
Armenia,Violence against civilians,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,3
Armenia,Explosions/Remote violence,5
Armenia,Explosions/Remote violence,3
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,3
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,4
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,3
Armenia,Explosions/Remote violence,8
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,4
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,3
Armenia,Explosions/Remote violence,4
Armenia,Explosions/Remote violence,1
Armenia,Explosions/Remote violence,2
Armenia,Explosions/Remote violence,6
Armenia,Explosions/Remote violence,5
Armenia,Explosions/Remote violence,7
