,COUNTRY,EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE
12,Akrotiri and Dhekelia,Riots,35.0206,33.758
38,Albania,Riots,40.6567,20.088
39,Albania,Riots,40.6567,20.088
40,Albania,Riots,40.6567,20.088
60,Albania,Riots,41.6084,20.186
61,Albania,Riots,41.6084,20.186
62,Albania,Riots,41.6084,20.186
63,Albania,Riots,41.6084,20.186
66,Albania,Violence against civilians,41.6084,20.186
67,Albania,Explosions/Remote violence,41.4352,19.6217
121,Albania,Riots,41.4352,19.6217
122,Albania,Riots,41.4352,19.6217
123,Albania,Riots,41.4352,19.6217
124,Albania,Riots,41.4352,19.6217
126,Albania,Violence against civilians,41.4352,19.6217
127,Albania,Violence against civilians,41.4352,19.6217
165,Albania,Riots,41.0618,20.1215
166,Albania,Riots,41.0618,20.1215
167,Albania,Riots,41.0618,20.1215
168,Albania,Riots,41.0618,20.1215
169,Albania,Riots,41.0618,20.1215
170,Albania,Riots,41.0618,20.1215
171,Albania,Riots,41.0618,20.1215
172,Albania,Riots,41.0618,20.1215
173,Albania,Violence against civilians,41.0618,20.1215
253,Albania,Riots,40.7396,19.5686
254,Albania,Riots,40.7396,19.5686
255,Albania,Riots,40.7396,19.5686
256,Albania,Riots,40.7396,19.5686
257,Albania,Riots,40.7396,19.5686
259,Albania,Violence against civilians,40.7396,19.5686
260,Albania,Violence against civilians,40.7396,19.5686
282,Albania,Riots,40.1758,20.2249
283,Albania,Riots,40.1758,20.2249
284,Albania,Riots,40.1758,20.2249
285,Albania,Riots,40.1758,20.2249
286,Albania,Riots,40.1758,20.2249
287,Albania,Violence against civilians,40.1758,20.2249
334,Albania,Riots,40.5899,20.7267
335,Albania,Riots,40.5899,20.7267
336,Albania,Riots,40.5899,20.7267
337,Albania,Riots,40.5899,20.7267
338,Albania,Riots,40.5899,20.7267
340,Albania,Violence against civilians,40.5899,20.7267
354,Albania,Riots,42.1892,20.3556
355,Albania,Riots,42.1892,20.3556
356,Albania,Riots,42.1892,20.3556
357,Albania,Riots,42.1892,20.3556
358,Albania,Explosions/Remote violence,41.7908,19.8765
403,Albania,Riots,41.7908,19.8765
404,Albania,Riots,41.7908,19.8765
405,Albania,Riots,41.7908,19.8765
407,Albania,Violence against civilians,41.7908,19.8765
408,Albania,Violence against civilians,41.7908,19.8765
409,Albania,Violence against civilians,41.7908,19.8765
410,Albania,Explosions/Remote violence,42.2464,19.7066
447,Albania,Riots,42.2464,19.7066
448,Albania,Riots,42.2464,19.7066
449,Albania,Riots,42.2464,19.7066
450,Albania,Riots,42.2464,19.7066
451,Albania,Riots,42.2464,19.7066
452,Albania,Riots,42.2464,19.7066
453,Albania,Riots,42.2464,19.7066
454,Albania,Riots,42.2464,19.7066
455,Albania,Riots,42.2464,19.7066
456,Albania,Riots,42.2464,19.7066
457,Albania,Riots,42.2464,19.7066
458,Albania,Riots,42.2464,19.7066
461,Albania,Violence against civilians,42.2464,19.7066
462,Albania,Explosions/Remote violence,41.2532,19.8102
463,Albania,Explosions/Remote violence,41.2532,19.8102
464,Albania,Explosions/Remote violence,41.2532,19.8102
726,Albania,Riots,41.2532,19.8102
727,Albania,Riots,41.2532,19.8102
728,Albania,Riots,41.2532,19.8102
729,Albania,Riots,41.2532,19.8102
730,Albania,Riots,41.2532,19.8102
731,Albania,Riots,41.2532,19.8102
732,Albania,Riots,41.2532,19.8102
733,Albania,Riots,41.2532,19.8102
734,Albania,Riots,41.2532,19.8102
735,Albania,Riots,41.2532,19.8102
736,Albania,Riots,41.2532,19.8102
737,Albania,Riots,41.2532,19.8102
738,Albania,Riots,41.2532,19.8102
739,Albania,Riots,41.2532,19.8102
740,Albania,Riots,41.2532,19.8102
741,Albania,Riots,41.2532,19.8102
742,Albania,Riots,41.2532,19.8102
743,Albania,Riots,41.2532,19.8102
744,Albania,Riots,41.2532,19.8102
745,Albania,Riots,41.2532,19.8102
746,Albania,Riots,41.2532,19.8102
747,Albania,Riots,41.2532,19.8102
748,Albania,Riots,41.2532,19.8102
749,Albania,Riots,41.2532,19.8102
750,Albania,Riots,41.2532,19.8102
751,Albania,Riots,41.2532,19.8102
752,Albania,Riots,41.2532,19.8102
753,Albania,Riots,41.2532,19.8102
754,Albania,Riots,41.2532,19.8102
755,Albania,Riots,41.2532,19.8102
756,Albania,Riots,41.2532,19.8102
757,Albania,Riots,41.2532,19.8102
758,Albania,Riots,41.2532,19.8102
759,Albania,Riots,41.2532,19.8102
760,Albania,Riots,41.2532,19.8102
761,Albania,Riots,41.2532,19.8102
762,Albania,Riots,41.2532,19.8102
763,Albania,Riots,41.2532,19.8102
764,Albania,Riots,41.2532,19.8102
765,Albania,Riots,41.2532,19.8102
766,Albania,Riots,41.2532,19.8102
767,Albania,Riots,41.2532,19.8102
768,Albania,Riots,41.2532,19.8102
769,Albania,Riots,41.2532,19.8102
770,Albania,Riots,41.2532,19.8102
771,Albania,Riots,41.2532,19.8102
772,Albania,Riots,41.2532,19.8102
773,Albania,Riots,41.2532,19.8102
774,Albania,Riots,41.2532,19.8102
775,Albania,Riots,41.2532,19.8102
776,Albania,Riots,41.2532,19.8102
777,Albania,Riots,41.2532,19.8102
778,Albania,Riots,41.2532,19.8102
779,Albania,Riots,41.2532,19.8102
780,Albania,Riots,41.2532,19.8102
781,Albania,Riots,41.2532,19.8102
782,Albania,Riots,41.2532,19.8102
783,Albania,Riots,41.2532,19.8102
784,Albania,Riots,41.2532,19.8102
785,Albania,Riots,41.2532,19.8102
786,Albania,Riots,41.2532,19.8102
787,Albania,Riots,41.2532,19.8102
788,Albania,Riots,41.2532,19.8102
789,Albania,Riots,41.2532,19.8102
790,Albania,Riots,41.2532,19.8102
791,Albania,Riots,41.2532,19.8102
792,Albania,Riots,41.2532,19.8102
793,Albania,Riots,41.2532,19.8102
794,Albania,Riots,41.2532,19.8102
795,Albania,Riots,41.2532,19.8102
812,Albania,Violence against civilians,41.2532,19.8102
813,Albania,Violence against civilians,41.2532,19.8102
