COUNTRY,count
Algeria,1728
Angola,813
Benin,817
Botswana,74
Burkina Faso,3517
Burundi,5149
Cameroon,3130
Cape Verde,9
Central African Republic,2820
Chad,710
Comoros,72
Democratic Republic of the Congo,7333
Djibouti,62
Egypt,3227
Equatorial Guinea,35
Eritrea,110
Ethiopia,2378
Gabon,117
Gambia,139
Ghana,1344
Guinea,1112
Guinea Bissau,88
Ivory Coast,1168
Kenya,7144
Lesotho,115
Liberia,495
Libya,2606
Madagascar,1633
Malawi,773
Mali,4208
Mauritania,169
Mauritius,130
Mayotte,159
Morocco,619
Mozambique,1501
Namibia,213
Niger,1568
Nigeria,14246
Republic of the Congo,174
Reunion,46
Rwanda,450
Sao Tome and Principe,8
Senegal,716
Seychelles,1
Sierra Leone,842
Somalia,12578
South Africa,5886
South Sudan,4194
Sudan,7736
United Republic of Tanzania,787
Togo,210
Tunisia,1586
Uganda,4164
Zambia,772
Zimbabwe,3017
Swaziland,330
Afghanistan,12710
Australia,76
Bangladesh,7830
Bhutan,5
Cambodia,310
China,2067
Christmas Island,1
East Timor,17
Fiji,6
French Polynesia,5
India,15574
Indonesia,2597
Japan,19
Laos,23
Malaysia,102
Maldives,33
Mongolia,10
Myanmar,11756
Nepal,3472
New Caledonia,35
New Zealand,12
North Korea,57
Pakistan,8585
Papua New Guinea,583
Philippines,4360
Samoa,3
Solomon Islands,14
South Korea,296
Sri Lanka,1094
Taiwan,86
Thailand,2655
Vanuatu,2
Vietnam,203
Akrotiri and Dhekelia,1
Albania,162
Andorra,1
Armenia,247
Austria,60
Azerbaijan,422
Belarus,174
Belgium,113
Bosnia and Herzegovina,121
Bulgaria,71
Croatia,82
Cyprus,211
Czech Republic,38
Denmark,43
Estonia,2
Faroe Islands,1
Finland,23
France,1116
Georgia,316
Germany,800
Greece,1073
Hungary,30
Iceland,5
Ireland,37
Italy,739
Kazakhstan,402
Kosovo,142
Kyrgyzstan,341
Latvia,4
Lithuania,6
Luxembourg,3
Malta,15
Moldova,92
Montenegro,66
Netherlands,189
Macedonia,37
Norway,28
Poland,178
Portugal,42
Romania,83
Russia,2647
Republic of Serbia,228
Slovakia,23
Slovenia,22
Spain,439
Sweden,57
Switzerland,50
Tajikistan,66
Turkmenistan,18
Ukraine,7456
England,305
Uzbekistan,230
Anguilla,1
Antigua and Barbuda,14
Argentina,1095
Aruba,1
The Bahamas,19
Barbados,2
Belize,450
Bolivia,808
Brazil,13193
Chile,2157
Colombia,8413
Costa Rica,175
Cuba,363
Curacao,5
Dominica,9
Dominican Republic,253
Ecuador,2424
El Salvador,1064
French Guiana,25
Grenada,1
Guadeloupe,57
Guatemala,1970
Guyana,87
Haiti,2001
Honduras,2697
Jamaica,1281
Martinique,61
Mexico,14998
Nicaragua,368
Panama,237
Paraguay,403
Peru,1697
Puerto Rico,1148
Saint Kitts and Nevis,2
Saint Lucia,11
Saint Vincent and the Grenadines,2
Saint-Martin,8
Sint Maarten,5
Suriname,63
Trinidad and Tobago,1575
Turks and Caicos Islands,1
Uruguay,54
Venezuela,3265
"Virgin Islands, U.S.",1
Bahrain,998
Iran,1485
Iraq,9586
Israel,1555
Jordan,365
Kuwait,4
Lebanon,2340
Oman,13
West Bank,2832
Qatar,4
Saudi Arabia,828
Syria,14976
Turkey,2776
United Arab Emirates,15
Yemen,13855
Canada,123
Saint Pierre and Miquelon,2
USA,1397
