COUNTRY,ADMIN1,count
Russia,Altai,13
Russia,Amur,4
Russia,Arkhangelsk,6
Russia,Astrakhan,14
Russia,Belgorod,378
Russia,Bryansk,184
Russia,Chelyabinsk,26
Russia,Irkutsk,24
Russia,Ivanovo,8
Russia,Kaliningrad,9
Russia,Kaluga,34
Russia,Kamchatka,1
Russia,Kemerovo,14
Russia,Khabarovsk,13
Russia,Khanty-Mansi,11
Russia,Kirov,7
Russia,Kostroma,4
Russia,Krasnodar,129
Russia,Krasnoyarsk,29
Russia,Kurgan,1
Russia,Kursk,342
Russia,Leningrad,28
Russia,Lipetsk,21
Russia,Magadan,1
Russia,Moscow,160
Russia,Moscow Oblast,71
Russia,Murmansk,7
Russia,Nizhny Novgorod,29
Russia,Novgorod,2
Russia,Novosibirsk,24
Russia,Omsk,13
Russia,Orenburg,25
Russia,Oryol,24
Russia,Penza,7
Russia,Perm,10
Russia,Primorskiy,22
Russia,Pskov,5
Russia,Republic of Adygea,10
Russia,Republic of Altai,1
Russia,Republic of Bashkortostan,29
Russia,Republic of Buryatia,11
Russia,Republic of Chechnya,72
Russia,Republic of Chuvash,8
Russia,Republic of Dagestan,60
Russia,Republic of Ingushetia,30
Russia,Republic of Kabardino-Balkaria,11
Russia,Republic of Kalmykia,9
Russia,Republic of Karachay-Cherkessia,9
Russia,Republic of Karelia,2
Russia,Republic of Khakassia,1
Russia,Republic of Komi,7
Russia,Republic of Mari El,1
Russia,Republic of Mordovia,8
Russia,Republic of North Ossetia-Alania,18
Russia,Republic of Sakha,2
Russia,Republic of Tatarstan,18
Russia,Republic of Tuva,2
Russia,Rostov,106
Russia,Ryazan,24
Russia,Saint Petersburg,82
Russia,Sakhalin,3
Russia,Samara,30
Russia,Saratov,46
Russia,Smolensk,15
Russia,Stavropol,28
Russia,Sverdlovsk,29
Russia,Tambov,17
Russia,Tomsk,4
Russia,Tula,25
Russia,Tver,22
Russia,Tyumen,7
Russia,Udmurt Republic,6
Russia,Ulyanovsk,9
Russia,Vladimir,31
Russia,Volgograd,42
Russia,Vologda,8
Russia,Voronezh,75
Russia,Yamalo-Nenets,2
Russia,Yaroslavl,15
Russia,Zabaykalskiy,12
Ukraine,Cape Fiolent,1
Ukraine,Cherkasy,105
Ukraine,Chernihiv,387
Ukraine,Chernivtsi,15
Ukraine,Coast of Sevastopol,3
Ukraine,Crimea,229
Ukraine,Dnipropetrovsk,445
Ukraine,Donetsk,1045
Ukraine,Eastern Black Sea,3
Ukraine,Ivano-Frankivsk,53
Ukraine,Kharkiv,651
Ukraine,Kherson,669
Ukraine,Khmelnytskyi,104
Ukraine,Kirovohrad,105
Ukraine,Kyiv,184
Ukraine,Kyiv City,354
Ukraine,Luhansk,758
Ukraine,Lviv,103
Ukraine,Mykolaiv,390
Ukraine,Odesa,350
Ukraine,Poltava,136
Ukraine,Rivne,59
Ukraine,Sea of Azov,5
Ukraine,Sumy,418
Ukraine,Ternopil,31
Ukraine,Vinnytsia,72
Ukraine,Volyn,35
Ukraine,Western Black Sea,19
Ukraine,Zakarpattia,26
Ukraine,Zaporizhia,609
Ukraine,Zhytomyr,92
