COUNTRY,EVENT_TYPE,EVENTS
Anguilla,Riots,1
Antigua and Barbuda,Violence against civilians,1
Antigua and Barbuda,Riots,1
Antigua and Barbuda,Riots,1
Antigua and Barbuda,Riots,1
Antigua and Barbuda,Violence against civilians,1
Antigua and Barbuda,Violence against civilians,1
Antigua and Barbuda,Violence against civilians,1
Antigua and Barbuda,Violence against civilians,1
Antigua and Barbuda,Violence against civilians,1
Antigua and Barbuda,Violence against civilians,1
Antigua and Barbuda,Violence against civilians,2
Antigua and Barbuda,Violence against civilians,1
Antigua and Barbuda,Violence against civilians,1
Antigua and Barbuda,Violence against civilians,1
Argentina,Explosions/Remote violence,1
Argentina,Explosions/Remote violence,2
Argentina,Explosions/Remote violence,1
Argentina,Explosions/Remote violence,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,3
Argentina,Riots,2
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,4
Argentina,Riots,1
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,4
Argentina,Riots,1
Argentina,Riots,4
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,5
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,2
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,2
Argentina,Violence against civilians,2
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,2
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,2
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,3
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,3
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,4
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,2
Argentina,Riots,1
Argentina,Riots,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Violence against civilians,1
Argentina,Explosions/Remote violence,1
Argentina,Explosions/Remote violence,1
Argentina,Explosions/Remote violence,1
Argentina,Explosions/Remote violence,1
Argentina,Explosions/Remote violence,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
Argentina,Riots,1
