,COUNTRY,EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE
4,Anguilla,Riots,18.2169,-63.0513
10,Antigua and Barbuda,Violence against civilians,17.118,-61.7959
91,Antigua and Barbuda,Riots,17.1103,-61.8287
92,Antigua and Barbuda,Riots,17.1103,-61.8287
93,Antigua and Barbuda,Riots,17.1103,-61.8287
98,Antigua and Barbuda,Violence against civilians,17.1103,-61.8287
99,Antigua and Barbuda,Violence against civilians,17.1103,-61.8287
100,Antigua and Barbuda,Violence against civilians,17.1103,-61.8287
101,Antigua and Barbuda,Violence against civilians,17.1103,-61.8287
102,Antigua and Barbuda,Violence against civilians,17.1103,-61.8287
103,Antigua and Barbuda,Violence against civilians,17.1103,-61.8287
104,Antigua and Barbuda,Violence against civilians,17.1103,-61.8287
105,Antigua and Barbuda,Violence against civilians,17.1103,-61.8287
114,Antigua and Barbuda,Violence against civilians,17.0492,-61.8615
115,Antigua and Barbuda,Violence against civilians,17.037,-61.7715
120,Argentina,Explosions/Remote violence,-37.1495,-60.1324
121,Argentina,Explosions/Remote violence,-37.1495,-60.1324
122,Argentina,Explosions/Remote violence,-37.1495,-60.1324
123,Argentina,Explosions/Remote violence,-37.1495,-60.1324
564,Argentina,Riots,-37.1495,-60.1324
565,Argentina,Riots,-37.1495,-60.1324
566,Argentina,Riots,-37.1495,-60.1324
567,Argentina,Riots,-37.1495,-60.1324
568,Argentina,Riots,-37.1495,-60.1324
569,Argentina,Riots,-37.1495,-60.1324
570,Argentina,Riots,-37.1495,-60.1324
571,Argentina,Riots,-37.1495,-60.1324
572,Argentina,Riots,-37.1495,-60.1324
573,Argentina,Riots,-37.1495,-60.1324
574,Argentina,Riots,-37.1495,-60.1324
575,Argentina,Riots,-37.1495,-60.1324
576,Argentina,Riots,-37.1495,-60.1324
577,Argentina,Riots,-37.1495,-60.1324
578,Argentina,Riots,-37.1495,-60.1324
579,Argentina,Riots,-37.1495,-60.1324
580,Argentina,Riots,-37.1495,-60.1324
581,Argentina,Riots,-37.1495,-60.1324
582,Argentina,Riots,-37.1495,-60.1324
583,Argentina,Riots,-37.1495,-60.1324
584,Argentina,Riots,-37.1495,-60.1324
585,Argentina,Riots,-37.1495,-60.1324
586,Argentina,Riots,-37.1495,-60.1324
587,Argentina,Riots,-37.1495,-60.1324
588,Argentina,Riots,-37.1495,-60.1324
589,Argentina,Riots,-37.1495,-60.1324
590,Argentina,Riots,-37.1495,-60.1324
591,Argentina,Riots,-37.1495,-60.1324
592,Argentina,Riots,-37.1495,-60.1324
593,Argentina,Riots,-37.1495,-60.1324
594,Argentina,Riots,-37.1495,-60.1324
595,Argentina,Riots,-37.1495,-60.1324
596,Argentina,Riots,-37.1495,-60.1324
597,Argentina,Riots,-37.1495,-60.1324
598,Argentina,Riots,-37.1495,-60.1324
599,Argentina,Riots,-37.1495,-60.1324
600,Argentina,Riots,-37.1495,-60.1324
601,Argentina,Riots,-37.1495,-60.1324
602,Argentina,Riots,-37.1495,-60.1324
603,Argentina,Riots,-37.1495,-60.1324
604,Argentina,Riots,-37.1495,-60.1324
605,Argentina,Riots,-37.1495,-60.1324
606,Argentina,Riots,-37.1495,-60.1324
607,Argentina,Riots,-37.1495,-60.1324
608,Argentina,Riots,-37.1495,-60.1324
609,Argentina,Riots,-37.1495,-60.1324
610,Argentina,Riots,-37.1495,-60.1324
611,Argentina,Riots,-37.1495,-60.1324
612,Argentina,Riots,-37.1495,-60.1324
613,Argentina,Riots,-37.1495,-60.1324
614,Argentina,Riots,-37.1495,-60.1324
615,Argentina,Riots,-37.1495,-60.1324
616,Argentina,Riots,-37.1495,-60.1324
617,Argentina,Riots,-37.1495,-60.1324
618,Argentina,Riots,-37.1495,-60.1324
619,Argentina,Riots,-37.1495,-60.1324
620,Argentina,Riots,-37.1495,-60.1324
621,Argentina,Riots,-37.1495,-60.1324
622,Argentina,Riots,-37.1495,-60.1324
623,Argentina,Riots,-37.1495,-60.1324
624,Argentina,Riots,-37.1495,-60.1324
625,Argentina,Riots,-37.1495,-60.1324
626,Argentina,Riots,-37.1495,-60.1324
627,Argentina,Riots,-37.1495,-60.1324
628,Argentina,Riots,-37.1495,-60.1324
629,Argentina,Riots,-37.1495,-60.1324
630,Argentina,Riots,-37.1495,-60.1324
631,Argentina,Riots,-37.1495,-60.1324
632,Argentina,Riots,-37.1495,-60.1324
633,Argentina,Riots,-37.1495,-60.1324
634,Argentina,Riots,-37.1495,-60.1324
635,Argentina,Riots,-37.1495,-60.1324
636,Argentina,Riots,-37.1495,-60.1324
637,Argentina,Riots,-37.1495,-60.1324
638,Argentina,Riots,-37.1495,-60.1324
639,Argentina,Riots,-37.1495,-60.1324
640,Argentina,Riots,-37.1495,-60.1324
641,Argentina,Riots,-37.1495,-60.1324
642,Argentina,Riots,-37.1495,-60.1324
643,Argentina,Riots,-37.1495,-60.1324
644,Argentina,Riots,-37.1495,-60.1324
645,Argentina,Riots,-37.1495,-60.1324
646,Argentina,Riots,-37.1495,-60.1324
647,Argentina,Riots,-37.1495,-60.1324
648,Argentina,Riots,-37.1495,-60.1324
649,Argentina,Riots,-37.1495,-60.1324
650,Argentina,Riots,-37.1495,-60.1324
651,Argentina,Riots,-37.1495,-60.1324
652,Argentina,Riots,-37.1495,-60.1324
653,Argentina,Riots,-37.1495,-60.1324
654,Argentina,Riots,-37.1495,-60.1324
655,Argentina,Riots,-37.1495,-60.1324
656,Argentina,Riots,-37.1495,-60.1324
657,Argentina,Riots,-37.1495,-60.1324
658,Argentina,Riots,-37.1495,-60.1324
659,Argentina,Riots,-37.1495,-60.1324
660,Argentina,Riots,-37.1495,-60.1324
661,Argentina,Riots,-37.1495,-60.1324
662,Argentina,Riots,-37.1495,-60.1324
663,Argentina,Riots,-37.1495,-60.1324
664,Argentina,Riots,-37.1495,-60.1324
665,Argentina,Riots,-37.1495,-60.1324
666,Argentina,Riots,-37.1495,-60.1324
667,Argentina,Riots,-37.1495,-60.1324
668,Argentina,Riots,-37.1495,-60.1324
669,Argentina,Riots,-37.1495,-60.1324
670,Argentina,Riots,-37.1495,-60.1324
671,Argentina,Riots,-37.1495,-60.1324
672,Argentina,Riots,-37.1495,-60.1324
673,Argentina,Riots,-37.1495,-60.1324
674,Argentina,Riots,-37.1495,-60.1324
675,Argentina,Riots,-37.1495,-60.1324
676,Argentina,Riots,-37.1495,-60.1324
677,Argentina,Riots,-37.1495,-60.1324
678,Argentina,Riots,-37.1495,-60.1324
679,Argentina,Riots,-37.1495,-60.1324
680,Argentina,Riots,-37.1495,-60.1324
681,Argentina,Riots,-37.1495,-60.1324
682,Argentina,Riots,-37.1495,-60.1324
683,Argentina,Riots,-37.1495,-60.1324
684,Argentina,Riots,-37.1495,-60.1324
685,Argentina,Riots,-37.1495,-60.1324
686,Argentina,Riots,-37.1495,-60.1324
687,Argentina,Riots,-37.1495,-60.1324
688,Argentina,Riots,-37.1495,-60.1324
689,Argentina,Riots,-37.1495,-60.1324
