COUNTRY,EVENT_TYPE,EVENTS
Bahrain,Explosions/Remote violence,1
Bahrain,Explosions/Remote violence,2
Bahrain,Explosions/Remote violence,1
Bahrain,Explosions/Remote violence,1
Bahrain,Explosions/Remote violence,1
Bahrain,Explosions/Remote violence,1
Bahrain,Explosions/Remote violence,1
Bahrain,Riots,1
Bahrain,Riots,1
Bahrain,Riots,3
Bahrain,Riots,25
Bahrain,Riots,8
Bahrain,Riots,26
Bahrain,Riots,11
Bahrain,Riots,7
Bahrain,Riots,5
Bahrain,Riots,15
Bahrain,Riots,7
Bahrain,Riots,6
Bahrain,Riots,10
Bahrain,Riots,18
Bahrain,Riots,2
Bahrain,Riots,6
Bahrain,Riots,16
Bahrain,Riots,15
Bahrain,Riots,9
Bahrain,Riots,15
Bahrain,Riots,6
Bahrain,Riots,10
Bahrain,Riots,9
Bahrain,Riots,5
Bahrain,Riots,3
Bahrain,Riots,7
Bahrain,Riots,6
Bahrain,Riots,11
Bahrain,Riots,7
Bahrain,Riots,11
Bahrain,Riots,7
Bahrain,Riots,8
Bahrain,Riots,10
Bahrain,Riots,9
Bahrain,Riots,7
Bahrain,Riots,10
Bahrain,Riots,15
Bahrain,Riots,14
Bahrain,Riots,7
Bahrain,Riots,8
Bahrain,Riots,2
Bahrain,Riots,9
Bahrain,Riots,5
Bahrain,Riots,3
Bahrain,Riots,14
Bahrain,Riots,14
Bahrain,Riots,21
Bahrain,Riots,11
Bahrain,Riots,11
Bahrain,Riots,7
Bahrain,Riots,8
Bahrain,Riots,11
Bahrain,Riots,10
Bahrain,Riots,16
Bahrain,Riots,6
Bahrain,Riots,13
Bahrain,Riots,7
Bahrain,Riots,49
Bahrain,Riots,22
Bahrain,Riots,17
Bahrain,Riots,16
Bahrain,Riots,31
Bahrain,Riots,20
Bahrain,Riots,7
Bahrain,Riots,9
Bahrain,Riots,12
Bahrain,Riots,15
Bahrain,Riots,12
Bahrain,Riots,10
Bahrain,Riots,9
Bahrain,Riots,23
Bahrain,Riots,6
Bahrain,Riots,9
Bahrain,Riots,9
Bahrain,Riots,9
Bahrain,Riots,37
Bahrain,Riots,24
Bahrain,Riots,19
Bahrain,Riots,10
Bahrain,Riots,21
Bahrain,Riots,8
Bahrain,Riots,13
Bahrain,Riots,14
Bahrain,Riots,12
Bahrain,Riots,17
Bahrain,Riots,13
Bahrain,Riots,13
Bahrain,Riots,7
Bahrain,Riots,12
Bahrain,Riots,13
Bahrain,Riots,11
Bahrain,Riots,7
Bahrain,Riots,1
Bahrain,Riots,1
Bahrain,Riots,3
Bahrain,Riots,6
Bahrain,Riots,10
Bahrain,Riots,5
Bahrain,Riots,8
Bahrain,Riots,5
Bahrain,Riots,8
Bahrain,Riots,6
Bahrain,Riots,10
Bahrain,Riots,11
Bahrain,Riots,9
Bahrain,Riots,15
Bahrain,Riots,6
Bahrain,Riots,10
Bahrain,Riots,8
Bahrain,Riots,17
Bahrain,Riots,10
Bahrain,Riots,13
Bahrain,Riots,11
Bahrain,Riots,12
Bahrain,Riots,12
Bahrain,Riots,6
Bahrain,Riots,8
Bahrain,Riots,16
Bahrain,Riots,12
Bahrain,Riots,5
Bahrain,Riots,15
Bahrain,Riots,17
Bahrain,Riots,10
Bahrain,Riots,10
Bahrain,Riots,11
Bahrain,Riots,7
Bahrain,Riots,16
Bahrain,Riots,6
Bahrain,Riots,7
Bahrain,Riots,8
Bahrain,Riots,10
Bahrain,Riots,7
Bahrain,Riots,7
Bahrain,Riots,7
Bahrain,Riots,5
Bahrain,Riots,1
Bahrain,Riots,8
Bahrain,Riots,2
Bahrain,Riots,2
Bahrain,Riots,6
Bahrain,Riots,2
Bahrain,Riots,10
Bahrain,Riots,9
Bahrain,Riots,1
Bahrain,Riots,1
Bahrain,Riots,5
Bahrain,Riots,5
Bahrain,Riots,5
Bahrain,Riots,5
Bahrain,Riots,8
Bahrain,Riots,4
Bahrain,Riots,3
Bahrain,Riots,9
Bahrain,Riots,9
Bahrain,Riots,7
Bahrain,Riots,10
Bahrain,Riots,7
Bahrain,Riots,8
Bahrain,Riots,7
Bahrain,Riots,8
Bahrain,Riots,3
Bahrain,Riots,9
Bahrain,Riots,2
Bahrain,Riots,5
Bahrain,Riots,6
Bahrain,Riots,14
Bahrain,Riots,1
Bahrain,Riots,3
Bahrain,Riots,2
Bahrain,Riots,4
Bahrain,Riots,1
Bahrain,Riots,2
Bahrain,Riots,3
Bahrain,Riots,4
Bahrain,Riots,5
Bahrain,Riots,5
Bahrain,Riots,3
Bahrain,Riots,6
Bahrain,Riots,5
Bahrain,Riots,2
Bahrain,Riots,1
Bahrain,Riots,2
Bahrain,Riots,2
Bahrain,Riots,7
Bahrain,Riots,14
Bahrain,Riots,1
Bahrain,Riots,3
Bahrain,Riots,18
Bahrain,Riots,2
Bahrain,Riots,6
Bahrain,Riots,4
Bahrain,Riots,3
Bahrain,Riots,1
Bahrain,Riots,1
Bahrain,Riots,1
Bahrain,Riots,1
Bahrain,Riots,7
Bahrain,Riots,4
Bahrain,Riots,1
