,COUNTRY,EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE
1,Bahrain,Explosions/Remote violence,26.1927,50.5508
2,Bahrain,Explosions/Remote violence,26.1927,50.5508
3,Bahrain,Explosions/Remote violence,26.1927,50.5508
4,Bahrain,Explosions/Remote violence,26.1927,50.5508
5,Bahrain,Explosions/Remote violence,26.1927,50.5508
6,Bahrain,Explosions/Remote violence,26.1927,50.5508
7,Bahrain,Explosions/Remote violence,26.1927,50.5508
583,Bahrain,Riots,26.1927,50.5508
584,Bahrain,Riots,26.1927,50.5508
585,Bahrain,Riots,26.1927,50.5508
586,Bahrain,Riots,26.1927,50.5508
587,Bahrain,Riots,26.1927,50.5508
588,Bahrain,Riots,26.1927,50.5508
589,Bahrain,Riots,26.1927,50.5508
590,Bahrain,Riots,26.1927,50.5508
591,Bahrain,Riots,26.1927,50.5508
592,Bahrain,Riots,26.1927,50.5508
593,Bahrain,Riots,26.1927,50.5508
594,Bahrain,Riots,26.1927,50.5508
595,Bahrain,Riots,26.1927,50.5508
596,Bahrain,Riots,26.1927,50.5508
597,Bahrain,Riots,26.1927,50.5508
598,Bahrain,Riots,26.1927,50.5508
599,Bahrain,Riots,26.1927,50.5508
600,Bahrain,Riots,26.1927,50.5508
601,Bahrain,Riots,26.1927,50.5508
602,Bahrain,Riots,26.1927,50.5508
603,Bahrain,Riots,26.1927,50.5508
604,Bahrain,Riots,26.1927,50.5508
605,Bahrain,Riots,26.1927,50.5508
606,Bahrain,Riots,26.1927,50.5508
607,Bahrain,Riots,26.1927,50.5508
608,Bahrain,Riots,26.1927,50.5508
609,Bahrain,Riots,26.1927,50.5508
610,Bahrain,Riots,26.1927,50.5508
611,Bahrain,Riots,26.1927,50.5508
612,Bahrain,Riots,26.1927,50.5508
613,Bahrain,Riots,26.1927,50.5508
614,Bahrain,Riots,26.1927,50.5508
615,Bahrain,Riots,26.1927,50.5508
616,Bahrain,Riots,26.1927,50.5508
617,Bahrain,Riots,26.1927,50.5508
618,Bahrain,Riots,26.1927,50.5508
619,Bahrain,Riots,26.1927,50.5508
620,Bahrain,Riots,26.1927,50.5508
621,Bahrain,Riots,26.1927,50.5508
622,Bahrain,Riots,26.1927,50.5508
623,Bahrain,Riots,26.1927,50.5508
624,Bahrain,Riots,26.1927,50.5508
625,Bahrain,Riots,26.1927,50.5508
626,Bahrain,Riots,26.1927,50.5508
627,Bahrain,Riots,26.1927,50.5508
628,Bahrain,Riots,26.1927,50.5508
629,Bahrain,Riots,26.1927,50.5508
630,Bahrain,Riots,26.1927,50.5508
631,Bahrain,Riots,26.1927,50.5508
632,Bahrain,Riots,26.1927,50.5508
633,Bahrain,Riots,26.1927,50.5508
634,Bahrain,Riots,26.1927,50.5508
635,Bahrain,Riots,26.1927,50.5508
636,Bahrain,Riots,26.1927,50.5508
637,Bahrain,Riots,26.1927,50.5508
638,Bahrain,Riots,26.1927,50.5508
639,Bahrain,Riots,26.1927,50.5508
640,Bahrain,Riots,26.1927,50.5508
641,Bahrain,Riots,26.1927,50.5508
642,Bahrain,Riots,26.1927,50.5508
643,Bahrain,Riots,26.1927,50.5508
644,Bahrain,Riots,26.1927,50.5508
645,Bahrain,Riots,26.1927,50.5508
646,Bahrain,Riots,26.1927,50.5508
647,Bahrain,Riots,26.1927,50.5508
648,Bahrain,Riots,26.1927,50.5508
649,Bahrain,Riots,26.1927,50.5508
650,Bahrain,Riots,26.1927,50.5508
651,Bahrain,Riots,26.1927,50.5508
652,Bahrain,Riots,26.1927,50.5508
653,Bahrain,Riots,26.1927,50.5508
654,Bahrain,Riots,26.1927,50.5508
655,Bahrain,Riots,26.1927,50.5508
656,Bahrain,Riots,26.1927,50.5508
657,Bahrain,Riots,26.1927,50.5508
658,Bahrain,Riots,26.1927,50.5508
659,Bahrain,Riots,26.1927,50.5508
660,Bahrain,Riots,26.1927,50.5508
661,Bahrain,Riots,26.1927,50.5508
662,Bahrain,Riots,26.1927,50.5508
663,Bahrain,Riots,26.1927,50.5508
664,Bahrain,Riots,26.1927,50.5508
665,Bahrain,Riots,26.1927,50.5508
666,Bahrain,Riots,26.1927,50.5508
667,Bahrain,Riots,26.1927,50.5508
668,Bahrain,Riots,26.1927,50.5508
669,Bahrain,Riots,26.1927,50.5508
670,Bahrain,Riots,26.1927,50.5508
671,Bahrain,Riots,26.1927,50.5508
672,Bahrain,Riots,26.1927,50.5508
673,Bahrain,Riots,26.1927,50.5508
674,Bahrain,Riots,26.1927,50.5508
675,Bahrain,Riots,26.1927,50.5508
676,Bahrain,Riots,26.1927,50.5508
677,Bahrain,Riots,26.1927,50.5508
678,Bahrain,Riots,26.1927,50.5508
679,Bahrain,Riots,26.1927,50.5508
680,Bahrain,Riots,26.1927,50.5508
681,Bahrain,Riots,26.1927,50.5508
682,Bahrain,Riots,26.1927,50.5508
683,Bahrain,Riots,26.1927,50.5508
684,Bahrain,Riots,26.1927,50.5508
685,Bahrain,Riots,26.1927,50.5508
686,Bahrain,Riots,26.1927,50.5508
687,Bahrain,Riots,26.1927,50.5508
688,Bahrain,Riots,26.1927,50.5508
689,Bahrain,Riots,26.1927,50.5508
690,Bahrain,Riots,26.1927,50.5508
691,Bahrain,Riots,26.1927,50.5508
692,Bahrain,Riots,26.1927,50.5508
693,Bahrain,Riots,26.1927,50.5508
694,Bahrain,Riots,26.1927,50.5508
695,Bahrain,Riots,26.1927,50.5508
