COUNTRY,EVENT_TYPE,EVENTS
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Explosions/Remote violence,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,2
Canada,Riots,1
Canada,Riots,1
Canada,Riots,2
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,2
Canada,Riots,1
Canada,Riots,1
Canada,Riots,2
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,3
Canada,Riots,1
Canada,Riots,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,2
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,4
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Riots,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Canada,Riots,1
Canada,Violence against civilians,1
Canada,Violence against civilians,1
Saint Pierre and Miquelon,Riots,1
Saint Pierre and Miquelon,Riots,1
United States,Explosions/Remote violence,1
United States,Riots,5
United States,Riots,1
United States,Riots,1
United States,Riots,1
United States,Riots,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Riots,1
United States,Riots,2
United States,Riots,8
United States,Riots,1
United States,Riots,2
United States,Riots,1
United States,Riots,1
United States,Riots,1
United States,Riots,1
United States,Riots,1
United States,Riots,1
United States,Riots,1
United States,Riots,1
United States,Riots,3
United States,Riots,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
United States,Violence against civilians,1
