WEEK,COUNTRY,POPULATION_EXPOSURE
01/04/2020,Ukraine,385817.0
01/04/2025,Russia,35913.0
01/04/2025,Ukraine,2268932.0
01/06/2024,Russia,1899.0
01/06/2024,Ukraine,4124692.0
01/07/2023,Ukraine,2442986.0
01/08/2022,Ukraine,181383.0
01/09/2021,Ukraine,157242.0
01/11/2020,Ukraine,473431.0
01/11/2025,Russia,103316.0
01/11/2025,Ukraine,4113227.0
01/13/2024,Ukraine,2385470.0
01/14/2023,Russia,495620.0
01/14/2023,Ukraine,3180738.0
01/15/2022,Russia,31754.0
01/15/2022,Ukraine,735.0
01/16/2021,Russia,28221.0
01/16/2021,Ukraine,84824.0
01/18/2020,Ukraine,766600.0
01/18/2025,Russia,165835.0
01/18/2025,Ukraine,3955429.0
01/20/2024,Russia,123905.0
01/20/2024,Ukraine,2648657.0
01/21/2023,Ukraine,3123116.0
01/22/2022,Ukraine,48156.0
01/23/2021,Ukraine,296123.0
01/25/2020,Ukraine,942447.0
01/25/2025,Russia,342529.0
01/25/2025,Ukraine,2935601.0
01/27/2024,Ukraine,1976133.0
01/28/2023,Russia,162465.0
01/28/2023,Ukraine,2537647.0
01/30/2021,Ukraine,55961.0
02/01/2020,Ukraine,696620.0
02/01/2025,Russia,1061099.0
02/01/2025,Ukraine,5050799.0
02/03/2024,Russia,1460.0
02/03/2024,Ukraine,3150892.0
02/04/2023,Russia,276720.0
02/04/2023,Ukraine,3153801.0
02/05/2022,Ukraine,85332.0
02/06/2021,Ukraine,240531.0
02/08/2025,Russia,754456.0
02/08/2025,Ukraine,4642372.0
02/10/2024,Russia,287108.0
02/10/2024,Ukraine,2986940.0
02/11/2023,Russia,683509.0
02/11/2023,Ukraine,2874923.0
02/12/2022,Ukraine,55552.0
02/13/2021,Ukraine,17789.0
02/15/2020,Ukraine,438803.0
02/15/2025,Russia,597645.0
02/15/2025,Ukraine,3389763.0
02/17/2024,Russia,97956.0
02/17/2024,Ukraine,3008788.0
02/18/2023,Russia,135383.0
02/18/2023,Ukraine,2397927.0
02/19/2022,Ukraine,6230492.0
02/20/2021,Ukraine,373950.0
02/22/2020,Ukraine,330930.0
02/22/2025,Russia,315469.0
02/22/2025,Ukraine,4190672.0
02/24/2024,Russia,26345.0
02/24/2024,Ukraine,3219584.0
02/25/2023,Russia,15263.0
02/25/2023,Ukraine,3332144.0
02/26/2022,Ukraine,10848744.0
