WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE
01/18/2020,Russia,Altai,Protests,Peaceful protest,1,0,4959.0,Demonstrations
01/25/2020,Russia,Altai,Protests,Peaceful protest,2,0,13548.0,Demonstrations
02/08/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
02/15/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
02/29/2020,Russia,Altai,Protests,Peaceful protest,2,0,13548.0,Demonstrations
03/14/2020,Russia,Altai,Protests,Peaceful protest,2,0,15108.0,Demonstrations
03/21/2020,Russia,Altai,Protests,Peaceful protest,2,0,13548.0,Demonstrations
06/06/2020,Russia,Altai,Protests,Peaceful protest,2,0,13548.0,Demonstrations
06/20/2020,Russia,Altai,Protests,Peaceful protest,2,0,15037.0,Demonstrations
06/27/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
09/26/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
10/03/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
10/10/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
10/17/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
10/24/2020,Russia,Altai,Protests,Peaceful protest,2,0,13548.0,Demonstrations
10/31/2020,Russia,Altai,Protests,Peaceful protest,3,0,13548.0,Demonstrations
11/07/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
11/14/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
11/28/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
12/05/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
12/26/2020,Russia,Altai,Protests,Peaceful protest,1,0,13548.0,Demonstrations
01/02/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
01/09/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
01/16/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
01/30/2021,Russia,Altai,Protests,Peaceful protest,1,0,10922.0,Demonstrations
02/13/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
02/27/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
03/13/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
03/27/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
04/03/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
04/24/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
05/15/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
05/29/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
06/12/2021,Russia,Altai,Protests,Peaceful protest,1,0,86.0,Demonstrations
06/19/2021,Russia,Altai,Protests,Peaceful protest,2,0,13489.0,Demonstrations
07/10/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
07/24/2021,Russia,Altai,Protests,Peaceful protest,1,0,2674.0,Demonstrations
08/14/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
08/21/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
09/25/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
10/23/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
10/30/2021,Russia,Altai,Protests,Peaceful protest,1,0,13489.0,Demonstrations
01/29/2022,Russia,Altai,Protests,Peaceful protest,1,0,13452.0,Demonstrations
03/12/2022,Russia,Altai,Protests,Peaceful protest,1,0,13452.0,Demonstrations
04/16/2022,Russia,Altai,Protests,Peaceful protest,1,0,13452.0,Demonstrations
04/30/2022,Russia,Altai,Protests,Peaceful protest,1,0,13452.0,Demonstrations
05/14/2022,Russia,Altai,Protests,Peaceful protest,1,0,13452.0,Demonstrations
05/21/2022,Russia,Altai,Protests,Peaceful protest,1,0,13452.0,Demonstrations
06/04/2022,Russia,Altai,Protests,Peaceful protest,1,0,13452.0,Demonstrations
08/06/2022,Russia,Altai,Protests,Peaceful protest,1,0,13452.0,Demonstrations
09/03/2022,Russia,Altai,Protests,Peaceful protest,1,0,2667.0,Demonstrations
09/17/2022,Russia,Altai,Protests,Peaceful protest,3,0,13452.0,Demonstrations
09/24/2022,Russia,Altai,Protests,Peaceful protest,1,0,13452.0,Demonstrations
01/07/2023,Russia,Altai,Protests,Peaceful protest,1,0,10872.0,Demonstrations
01/21/2023,Russia,Altai,Protests,Peaceful protest,1,0,13427.0,Demonstrations
01/28/2023,Russia,Altai,Protests,Peaceful protest,1,0,1729.0,Demonstrations
02/04/2023,Russia,Altai,Protests,Peaceful protest,1,0,2662.0,Demonstrations
02/11/2023,Russia,Altai,Protests,Peaceful protest,3,0,26446.0,Demonstrations
02/25/2023,Russia,Altai,Protests,Peaceful protest,1,0,13427.0,Demonstrations
03/04/2023,Russia,Altai,Protests,Peaceful protest,2,0,12601.0,Demonstrations
03/18/2023,Russia,Altai,Protests,Peaceful protest,1,0,10872.0,Demonstrations
04/08/2023,Russia,Altai,Protests,Peaceful protest,1,0,86.0,Demonstrations
07/29/2023,Russia,Altai,Protests,Peaceful protest,1,0,10872.0,Demonstrations
09/30/2023,Russia,Altai,Protests,Peaceful protest,2,0,13486.0,Demonstrations
11/25/2023,Russia,Altai,Protests,Peaceful protest,1,0,3925.0,Demonstrations
12/23/2023,Russia,Altai,Protests,Peaceful protest,1,0,2147.0,Demonstrations
01/27/2024,Russia,Altai,Protests,Peaceful protest,1,0,10872.0,Demonstrations
06/29/2024,Russia,Altai,Protests,Peaceful protest,1,0,10872.0,Demonstrations
08/10/2024,Russia,Altai,Protests,Peaceful protest,1,0,4533.0,Demonstrations
08/17/2024,Russia,Altai,Protests,Peaceful protest,1,0,13427.0,Demonstrations
09/21/2024,Russia,Altai,Protests,Peaceful protest,1,0,13427.0,Demonstrations
10/26/2024,Russia,Altai,Protests,Peaceful protest,1,0,1851.0,Demonstrations
11/02/2024,Russia,Altai,Protests,Peaceful protest,1,0,13427.0,Demonstrations
11/09/2024,Russia,Altai,Protests,Peaceful protest,1,0,2790.0,Demonstrations
03/01/2025,Russia,Altai,Protests,Peaceful protest,1,0,13427.0,Demonstrations
03/08/2025,Russia,Altai,Protests,Peaceful protest,1,0,2662.0,Demonstrations
04/05/2025,Russia,Altai,Protests,Peaceful protest,1,0,2662.0,Demonstrations
04/12/2025,Russia,Altai,Protests,Peaceful protest,1,0,2790.0,Demonstrations
04/26/2025,Russia,Altai,Protests,Peaceful protest,1,0,13427.0,Demonstrations
05/31/2025,Russia,Altai,Protests,Peaceful protest,1,0,417.0,Demonstrations
07/05/2025,Russia,Altai,Protests,Peaceful protest,1,0,13427.0,Demonstrations
07/12/2025,Russia,Altai,Protests,Peaceful protest,1,0,4533.0,Demonstrations
08/16/2025,Russia,Altai,Protests,Peaceful protest,1,0,2662.0,Demonstrations
04/25/2020,Russia,Altai,Protests,Protest with intervention,1,0,13548.0,Demonstrations
08/01/2020,Russia,Altai,Protests,Protest with intervention,1,0,13548.0,Demonstrations
08/15/2020,Russia,Altai,Protests,Protest with intervention,1,0,13548.0,Demonstrations
10/24/2020,Russia,Altai,Protests,Protest with intervention,1,0,13548.0,Demonstrations
01/23/2021,Russia,Altai,Protests,Protest with intervention,2,0,24411.0,Demonstrations
01/30/2021,Russia,Altai,Protests,Protest with intervention,1,0,13489.0,Demonstrations
04/17/2021,Russia,Altai,Protests,Protest with intervention,1,0,13489.0,Demonstrations
07/31/2021,Russia,Altai,Protests,Protest with intervention,1,0,13489.0,Demonstrations
09/11/2021,Russia,Altai,Protests,Protest with intervention,1,0,13489.0,Demonstrations
02/26/2022,Russia,Altai,Protests,Protest with intervention,1,0,13452.0,Demonstrations
