REGION,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,POPULATION_EXPOSURE,DISORDER_TYPE
North America,Protests,Peaceful protest,1,2369.0,Demonstrations
North America,Protests,Peaceful protest,1,2852.0,Demonstrations
North America,Protests,Peaceful protest,1,2852.0,Demonstrations
North America,Protests,Peaceful protest,2,2852.0,Demonstrations
North America,Protests,Peaceful protest,1,2852.0,Demonstrations
North America,Protests,Peaceful protest,1,2850.0,Demonstrations
North America,Protests,Peaceful protest,1,2850.0,Demonstrations
North America,Protests,Peaceful protest,1,2850.0,Demonstrations
North America,Protests,Peaceful protest,1,2850.0,Demonstrations
North America,Protests,Peaceful protest,1,2850.0,Demonstrations
North America,Protests,Peaceful protest,1,2850.0,Demonstrations
North America,Protests,Peaceful protest,1,2845.0,Demonstrations
North America,Protests,Peaceful protest,1,2845.0,Demonstrations
North America,Protests,Peaceful protest,1,2845.0,Demonstrations
North America,Protests,Peaceful protest,2,2845.0,Demonstrations
North America,Protests,Peaceful protest,2,2845.0,Demonstrations
North America,Protests,Peaceful protest,1,2845.0,Demonstrations
North America,Protests,Peaceful protest,1,2845.0,Demonstrations
North America,Protests,Peaceful protest,1,2845.0,Demonstrations
North America,Protests,Peaceful protest,1,1021.0,Demonstrations
North America,Protests,Peaceful protest,1,1020.0,Demonstrations
North America,Protests,Peaceful protest,1,1597.0,Demonstrations
North America,Protests,Peaceful protest,1,3159.0,Demonstrations
North America,Protests,Peaceful protest,1,3159.0,Demonstrations
North America,Protests,Peaceful protest,3,33586.0,Demonstrations
North America,Protests,Peaceful protest,3,31590.0,Demonstrations
North America,Protests,Peaceful protest,8,30614.0,Demonstrations
North America,Protests,Peaceful protest,2,29819.0,Demonstrations
North America,Protests,Peaceful protest,6,34550.0,Demonstrations
North America,Protests,Peaceful protest,4,35901.0,Demonstrations
North America,Protests,Peaceful protest,3,6279.0,Demonstrations
North America,Protests,Peaceful protest,2,7910.0,Demonstrations
North America,Protests,Peaceful protest,5,33586.0,Demonstrations
North America,Protests,Peaceful protest,1,7910.0,Demonstrations
North America,Protests,Peaceful protest,4,31037.0,Demonstrations
North America,Protests,Peaceful protest,7,31593.0,Demonstrations
North America,Protests,Peaceful protest,5,32057.0,Demonstrations
North America,Protests,Peaceful protest,5,39970.0,Demonstrations
North America,Protests,Peaceful protest,1,7910.0,Demonstrations
North America,Protests,Peaceful protest,2,26125.0,Demonstrations
North America,Protests,Peaceful protest,6,29825.0,Demonstrations
North America,Protests,Peaceful protest,1,7910.0,Demonstrations
North America,Protests,Peaceful protest,7,33586.0,Demonstrations
North America,Protests,Peaceful protest,4,29819.0,Demonstrations
North America,Protests,Peaceful protest,6,32421.0,Demonstrations
North America,Protests,Peaceful protest,9,33956.0,Demonstrations
North America,Protests,Peaceful protest,6,8016.0,Demonstrations
North America,Protests,Peaceful protest,2,29819.0,Demonstrations
North America,Protests,Peaceful protest,5,31590.0,Demonstrations
North America,Protests,Peaceful protest,4,29819.0,Demonstrations
North America,Protests,Peaceful protest,7,33407.0,Demonstrations
North America,Protests,Peaceful protest,12,33261.0,Demonstrations
North America,Protests,Peaceful protest,8,33586.0,Demonstrations
North America,Protests,Peaceful protest,3,29819.0,Demonstrations
North America,Protests,Peaceful protest,1,1771.0,Demonstrations
North America,Protests,Peaceful protest,3,29819.0,Demonstrations
North America,Protests,Peaceful protest,2,7910.0,Demonstrations
North America,Protests,Peaceful protest,5,29819.0,Demonstrations
North America,Protests,Peaceful protest,5,29819.0,Demonstrations
North America,Protests,Peaceful protest,3,7949.0,Demonstrations
North America,Protests,Peaceful protest,2,23680.0,Demonstrations
North America,Protests,Peaceful protest,2,29819.0,Demonstrations
North America,Protests,Peaceful protest,3,30196.0,Demonstrations
North America,Protests,Peaceful protest,6,7910.0,Demonstrations
North America,Protests,Peaceful protest,3,33261.0,Demonstrations
North America,Protests,Peaceful protest,5,31590.0,Demonstrations
North America,Protests,Peaceful protest,8,31000.0,Demonstrations
North America,Protests,Peaceful protest,2,8740.0,Demonstrations
North America,Protests,Peaceful protest,1,7910.0,Demonstrations
North America,Protests,Peaceful protest,3,9091.0,Demonstrations
North America,Protests,Peaceful protest,4,10588.0,Demonstrations
North America,Protests,Peaceful protest,4,30053.0,Demonstrations
North America,Protests,Peaceful protest,3,30053.0,Demonstrations
North America,Protests,Peaceful protest,4,12221.0,Demonstrations
North America,Protests,Peaceful protest,15,37031.0,Demonstrations
North America,Protests,Peaceful protest,10,31486.0,Demonstrations
North America,Protests,Peaceful protest,9,32412.0,Demonstrations
North America,Protests,Peaceful protest,6,30053.0,Demonstrations
North America,Protests,Peaceful protest,8,43295.0,Demonstrations
North America,Protests,Peaceful protest,4,30053.0,Demonstrations
North America,Protests,Peaceful protest,3,30433.0,Demonstrations
North America,Protests,Peaceful protest,3,7972.0,Demonstrations
North America,Protests,Peaceful protest,2,7972.0,Demonstrations
North America,Protests,Peaceful protest,12,53584.0,Demonstrations
North America,Protests,Peaceful protest,2,30053.0,Demonstrations
North America,Protests,Peaceful protest,1,22081.0,Demonstrations
North America,Protests,Peaceful protest,6,31838.0,Demonstrations
North America,Protests,Peaceful protest,7,33127.0,Demonstrations
North America,Protests,Peaceful protest,6,39884.0,Demonstrations
North America,Protests,Peaceful protest,5,30053.0,Demonstrations
North America,Protests,Peaceful protest,3,30053.0,Demonstrations
North America,Protests,Peaceful protest,1,1145.0,Demonstrations
North America,Protests,Peaceful protest,1,22081.0,Demonstrations
North America,Protests,Peaceful protest,2,30053.0,Demonstrations
North America,Protests,Peaceful protest,5,30053.0,Demonstrations
North America,Protests,Peaceful protest,2,30053.0,Demonstrations
North America,Protests,Peaceful protest,1,22081.0,Demonstrations
North America,Protests,Peaceful protest,2,22081.0,Demonstrations
North America,Protests,Peaceful protest,2,22081.0,Demonstrations
North America,Protests,Peaceful protest,2,7972.0,Demonstrations
North America,Protests,Peaceful protest,2,30053.0,Demonstrations
North America,Protests,Peaceful protest,1,22081.0,Demonstrations
North America,Protests,Peaceful protest,1,7972.0,Demonstrations
North America,Protests,Peaceful protest,3,30053.0,Demonstrations
North America,Protests,Peaceful protest,2,30053.0,Demonstrations
North America,Protests,Peaceful protest,2,23869.0,Demonstrations
North America,Protests,Peaceful protest,7,30053.0,Demonstrations
North America,Protests,Peaceful protest,5,31802.0,Demonstrations
North America,Protests,Peaceful protest,7,33522.0,Demonstrations
North America,Protests,Peaceful protest,2,22081.0,Demonstrations
North America,Protests,Peaceful protest,3,35152.0,Demonstrations
North America,Protests,Peaceful protest,3,30053.0,Demonstrations
North America,Protests,Peaceful protest,3,31838.0,Demonstrations
North America,Protests,Peaceful protest,2,30053.0,Demonstrations
North America,Protests,Peaceful protest,2,30053.0,Demonstrations
North America,Protests,Peaceful protest,4,30053.0,Demonstrations
North America,Protests,Peaceful protest,1,22081.0,Demonstrations
North America,Protests,Peaceful protest,1,22081.0,Demonstrations
North America,Protests,Peaceful protest,1,7972.0,Demonstrations
North America,Protests,Peaceful protest,1,7972.0,Demonstrations
North America,Protests,Peaceful protest,1,7972.0,Demonstrations
North America,Protests,Peaceful protest,2,30309.0,Demonstrations
North America,Protests,Peaceful protest,2,8040.0,Demonstrations
North America,Protests,Peaceful protest,3,32109.0,Demonstrations
North America,Protests,Peaceful protest,4,10417.0,Demonstrations
North America,Protests,Peaceful protest,1,8040.0,Demonstrations
North America,Protests,Peaceful protest,2,24069.0,Demonstrations
North America,Protests,Peaceful protest,4,30309.0,Demonstrations
North America,Protests,Peaceful protest,4,24069.0,Demonstrations
North America,Protests,Peaceful protest,3,8040.0,Demonstrations
North America,Protests,Peaceful protest,5,38034.0,Demonstrations
North America,Protests,Peaceful protest,2,8040.0,Demonstrations
North America,Protests,Peaceful protest,4,30309.0,Demonstrations
North America,Protests,Peaceful protest,1,8040.0,Demonstrations
North America,Protests,Peaceful protest,8,40223.0,Demonstrations
North America,Protests,Peaceful protest,3,32109.0,Demonstrations
North America,Protests,Peaceful protest,8,35938.0,Demonstrations
North America,Protests,Peaceful protest,5,30309.0,Demonstrations
North America,Protests,Peaceful protest,1,22269.0,Demonstrations
North America,Protests,Peaceful protest,2,30309.0,Demonstrations
North America,Protests,Peaceful protest,2,9840.0,Demonstrations
North America,Protests,Peaceful protest,2,9840.0,Demonstrations
North America,Protests,Peaceful protest,3,30309.0,Demonstrations
North America,Protests,Peaceful protest,1,22269.0,Demonstrations
North America,Protests,Peaceful protest,2,30309.0,Demonstrations
North America,Protests,Peaceful protest,1,355.0,Demonstrations
North America,Protests,Peaceful protest,1,8040.0,Demonstrations
North America,Protests,Peaceful protest,2,30309.0,Demonstrations
North America,Protests,Peaceful protest,3,30309.0,Demonstrations
North America,Protests,Peaceful protest,1,22269.0,Demonstrations
North America,Protests,Peaceful protest,11,51398.0,Demonstrations
North America,Protests,Peaceful protest,5,24069.0,Demonstrations
North America,Protests,Peaceful protest,2,30309.0,Demonstrations
North America,Protests,Peaceful protest,5,32109.0,Demonstrations
North America,Protests,Peaceful protest,4,30309.0,Demonstrations
North America,Protests,Peaceful protest,2,22652.0,Demonstrations
North America,Protests,Peaceful protest,6,30309.0,Demonstrations
North America,Protests,Peaceful protest,4,30309.0,Demonstrations
North America,Protests,Peaceful protest,3,27898.0,Demonstrations
North America,Protests,Peaceful protest,5,30309.0,Demonstrations
North America,Protests,Peaceful protest,6,30310.0,Demonstrations
North America,Protests,Peaceful protest,1,22269.0,Demonstrations
North America,Protests,Peaceful protest,2,30309.0,Demonstrations
North America,Protests,Peaceful protest,2,22269.0,Demonstrations
North America,Protests,Peaceful protest,3,30309.0,Demonstrations
North America,Protests,Peaceful protest,3,37814.0,Demonstrations
North America,Protests,Peaceful protest,1,8040.0,Demonstrations
North America,Protests,Peaceful protest,1,8040.0,Demonstrations
North America,Protests,Peaceful protest,2,24069.0,Demonstrations
North America,Protests,Peaceful protest,8,40627.0,Demonstrations
North America,Protests,Peaceful protest,7,32109.0,Demonstrations
North America,Protests,Peaceful protest,3,30309.0,Demonstrations
North America,Protests,Peaceful protest,4,30309.0,Demonstrations
North America,Protests,Peaceful protest,1,22269.0,Demonstrations
North America,Protests,Peaceful protest,3,25767.0,Demonstrations
North America,Protests,Peaceful protest,3,12325.0,Demonstrations
North America,Protests,Peaceful protest,1,4285.0,Demonstrations
North America,Protests,Peaceful protest,8,41126.0,Demonstrations
North America,Protests,Peaceful protest,5,32797.0,Demonstrations
North America,Protests,Peaceful protest,3,11729.0,Demonstrations
North America,Protests,Peaceful protest,3,30309.0,Demonstrations
North America,Protests,Peaceful protest,4,30309.0,Demonstrations
North America,Protests,Peaceful protest,12,30810.0,Demonstrations
North America,Protests,Peaceful protest,1,22269.0,Demonstrations
North America,Protests,Peaceful protest,1,22269.0,Demonstrations
North America,Protests,Peaceful protest,4,30309.0,Demonstrations
North America,Protests,Peaceful protest,2,9528.0,Demonstrations
North America,Protests,Peaceful protest,2,9528.0,Demonstrations
North America,Protests,Peaceful protest,1,22269.0,Demonstrations
North America,Protests,Peaceful protest,3,24048.0,Demonstrations
North America,Protests,Peaceful protest,4,16356.0,Demonstrations
North America,Protests,Peaceful protest,5,21590.0,Demonstrations
North America,Protests,Peaceful protest,7,22361.0,Demonstrations
North America,Protests,Peaceful protest,9,39036.0,Demonstrations
North America,Protests,Peaceful protest,7,33888.0,Demonstrations
North America,Protests,Peaceful protest,2,9867.0,Demonstrations
North America,Protests,Peaceful protest,1,1447.0,Demonstrations
North America,Protests,Peaceful protest,7,40495.0,Demonstrations
North America,Protests,Peaceful protest,2,30309.0,Demonstrations
North America,Protests,Peaceful protest,5,30309.0,Demonstrations
North America,Protests,Peaceful protest,5,35339.0,Demonstrations
North America,Protests,Peaceful protest,4,38034.0,Demonstrations
North America,Protests,Peaceful protest,6,38034.0,Demonstrations
North America,Protests,Peaceful protest,5,30309.0,Demonstrations
North America,Protests,Peaceful protest,6,30309.0,Demonstrations
North America,Protests,Peaceful protest,1,8040.0,Demonstrations
North America,Protests,Peaceful protest,3,30309.0,Demonstrations
North America,Protests,Peaceful protest,2,30309.0,Demonstrations
North America,Protests,Peaceful protest,4,32744.0,Demonstrations
North America,Protests,Peaceful protest,13,65613.0,Demonstrations
North America,Protests,Peaceful protest,5,40312.0,Demonstrations
North America,Protests,Peaceful protest,5,39834.0,Demonstrations
